#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2018-11-26T00:11:43 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5bfb3a191f9bc	
#INFO	-out.max=9999	
#INFO	queryParameters=31	
#-oc.form=dec
#-out.max=9999
#-nav=cat:J/ApJ/801/3&tab:{J/ApJ/801/3/table1}&key:source=J/ApJ/801/3&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/801/3/table1
#-order=I
#-out=KOI
#-out=KIC
#-out=Teff
#-out=log(g)
#-out=Prot
#-out=e_Prot
#-out=Rvar
#-out=LPH
#-out=w
#-out=D
#-out=N
#-out=C
#-out=G
#-out=T
#-out=F
#-out=R
#-out=M1
#-out=M2
#-out=Simbad
#Simbad=Simbad
#-out=_RA
#-out=_DE
#
#
#RESOURCE=yCat_18010003
#Name: J/ApJ/801/3
#Title: Rotation periods for Q3-Q14 KOIs (Mazeh+, 2015)
#Table	J_ApJ_801_3_table1:
#Name: J/ApJ/801/3/table1
#Title: Stellar rotational periods for the KOIs
#Column	KOI	(I4)	[1/6249] Kepler Object of Interest identifier	[ucd=meta.id;meta.main]
#Column	KIC	(I8)	Kepler Input Catalog identifier (V/133)	[ucd=meta.id]
#Column	Teff	(I5)	[3089/10949]? KIC effective temperature (1) [NULL integer written as an empty string]	[ucd=phys.temperature.effective]
#Column	log(g)	(F6.3)	[0.03/6.1]? KIC log surface gravity (1)	[ucd=phys.gravity]
#Column	Prot	(F6.2)	[0.08/154]? Rotational period	[ucd=time.period]
#Column	e_Prot	(F5.2)	[0/73]? The 1{sigma} uncertainty in Prot	[ucd=stat.error]
#Column	Rvar	(I5)	[-9999/96819]? Amplitude of modulation (-9999 if no reliable amplitude) [NULL integer written as an empty string]	[ucd=src.var.amplitude]
#Column	LPH	(F9.6)	[0.01/1.8]? The Local Peak Height value of the autocorrelation function (ACF)	[ucd=stat.fit.param]
#Column	w	(F9.6)	[0/1]? Assigned weight (the w value); see text	[ucd=stat.weight]
#Column	D	(I1)	[0/1] "1" if Dressing & Charbonneau 2013 (J/ApJ/767/95) parameters used (1)	[ucd=meta.code]
#Column	N	(I1)	[0/1] "1" if KIC values missing, so NASA Exoplanet Archive (NEA) parameters used (1)	[ucd=meta.code]
#Column	C	(I1)	[0/1] "1" if Centroid motion shows transit and rotational modulation on different stars	[ucd=meta.code]
#Column	G	(I1)	[0/1] "1" if star is likely a giant	[ucd=meta.code]
#Column	T	(I1)	[0/1] "1" if T_eff_ outside 3500-6500K	[ucd=meta.code]
#Column	F	(I1)	[0/1] "1" if false positive (EB) identified in this work	[ucd=meta.code]
#Column	R	(I1)	[0/1] "1" if rejected by visual examination stage	[ucd=meta.code]
#Column	M1	(I1)	[0/1] "1" if inconsistent detection in different quarters	[ucd=meta.code]
#Column	M2	(I1)	[0/1] "1" if inconsistent detection with not high enough peaks	[ucd=meta.code]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Position from KIC catalog (V/133) (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Position from KIC catalog (V/133) (declination part)	[ucd=pos.eq.dec;meta.main]
KOI|KIC|Teff|log(g)|Prot|e_Prot|Rvar|LPH|w|D|N|C|G|T|F|R|M1|M2|Simbad|_RA|_DE
1494|11821363| 4559| 4.536| 46.95| 3.52| 3515| 0.100034| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|295.45715|+50.07717
1495| 7629518| 5661| 4.501| 47.05|11.42| 1763| 0.110426| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|297.66452|+43.24896
1496| 4828341| 5667| 4.487| 22.68| 4.19| 1742| 0.056302| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|289.60678|+39.93833
1498| 9636135| 5941| 4.670| 52.03| 1.78| 2564| 0.134030| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|285.05710|+46.32068
1499| 7841925| 5264| 4.384| 28.22|17.63|  962| 0.087473| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|297.72427|+43.52743
1501| 7439316| 4659| 4.507| 19.10| 0.82| 2399| 0.040168| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|290.12231|+43.08556
1503|12400538| 5356| 4.897| 48.57|12.21| 1833| 0.279808| 0.074434|0|0|0|0|0|0|0|0|1|Simbad|287.28531|+51.24998
1505| 9813499| 5701| 4.537| 43.65|15.81| 2369| 0.138595| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|282.36349|+46.67524
1506|12254792| 5582| 4.621| 28.01| 0.64| 2488| 0.252186| 0.150059|0|0|0|0|0|0|0|0|1|Simbad|289.42459|+50.99412
1507|12020218| 5881| 4.540| 17.94| 0.89| 1855| 0.037371| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|295.40253|+50.47863
1508| 7690844| 5695| 4.926| 10.87| 1.67| 2006| 0.092991| 0.041833|0|0|0|0|0|0|0|0|1|Simbad|294.52713|+43.36816
1510|11870545| 4772| 4.789| 41.15| 1.88| 4062| 0.193872| 0.078465|0|0|0|0|0|0|0|0|1|Simbad|295.08423|+50.11461
1511| 7901948| 5520| 4.609| 16.53| 3.01| 1720| 0.120881| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|295.41745|+43.60564
1515| 7871954| 4103| 4.565| 41.09| 0.63| 2813| 0.639768| 0.370687|0|0|0|0|0|0|0|0|0|Simbad|283.13547|+43.65705
1516|12418724| 6092| 4.564| 15.01| 0.19| 1565| 0.078697| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|296.40320|+51.27134
1517| 7456001| 5815| 4.425| 27.42| 3.13| 1555| 0.364493| 0.198985|0|0|0|0|0|0|0|0|1|Simbad|294.95685|+43.01433
1518| 7549209| 5563| 4.565| 29.62| 6.76| 1405| 0.088039| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|297.30130|+43.14189
1519| 7663405| 4994| 4.679| 44.74| 6.69| 2619| 0.271658| 0.091757|0|0|0|0|0|0|0|0|1|Simbad|283.47818|+43.38378
1520| 9765975| 5235| 4.510| 46.09| 7.81|  954| 0.135621| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|289.85913|+46.52267
1521| 9818462| 4962| 4.419| 31.14| 0.39| 4114| 0.741469| 0.444564|0|0|0|0|0|0|0|0|0|Simbad|285.29620|+46.60344
1522|12266636| 5609| 4.407| 62.02|19.55| 1037| 0.149672| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|295.80658|+50.90980
1525| 7869917| 6680| 4.241|      |     |     |         |         |0|0|0|0|1|0|0|0|0|Simbad|281.97125|+43.67277
1526| 9824805| 6011| 4.685|141.94|12.21| 1526| 0.264793| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|288.99258|+46.67075
1527| 7768451| 5470| 4.239| 66.83|24.50| 1117| 0.192338| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|296.67130|+43.49839
1528| 7691260| 5087| 4.946| 36.06| 7.33| 1732| 0.433277| 0.248366|0|0|0|0|0|0|0|0|1|Simbad|294.64990|+43.33559
1529| 9821454| 6074| 4.531| 60.34| 8.37|  794| 0.076369| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|287.03952|+46.64013
1530|11954842| 5973| 4.410| 56.25|10.66|  511| 0.186479| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|286.43365|+50.30033
1531|11764462| 5811| 4.412| 22.88| 0.08| 1476| 0.774089| 0.448993|0|0|0|0|0|0|0|0|0|Simbad|292.58444|+49.92316
1532|11656246| 6225| 4.305| 10.33| 0.10|  476| 0.241133| 0.184441|0|0|0|0|0|0|0|0|1|Simbad|288.66156|+49.73721
1533| 7808587| 6122| 4.427| 76.05|20.15|  725| 0.222603| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|286.27176|+43.59523
1534| 4741126| 6193| 4.416| 48.14| 3.15|  596| 0.210085| 0.002286|0|0|0|0|0|0|0|0|1|Simbad|290.09082|+39.81699
1535|11669125| 5924| 4.329| 14.93| 1.96|  577| 0.068319| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|295.52121|+49.73863
1536|12159249| 5848| 4.410| 18.74| 0.36|  822| 0.225796| 0.174242|0|0|0|0|0|0|0|0|1|Simbad|291.46732|+50.75948
1537| 9872292| 6063| 4.372| 12.63| 0.20|  430| 0.496013| 0.359938|0|1|0|0|0|0|0|0|0|Simbad|281.46173|+46.78989
1541| 4840513| 6164| 4.527|  2.45| 0.00| 8659| 1.008682| 0.594980|0|0|0|0|0|0|0|0|0|Simbad|293.19507|+39.90728
1546| 5475431| 5505| 4.967|  0.91| 0.00|15271| 1.534542| 0.745057|0|0|0|0|0|0|0|0|0|Simbad|298.51370|+40.63962
1547| 5283458| 5901| 4.610|  7.76| 0.00|10400| 1.342267| 0.725631|0|0|0|0|0|0|0|0|0|Simbad|294.20090|+40.45596
1549| 8053552| 5401| 4.358| 57.75| 3.66| 1982| 0.176557| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|299.05585|+43.89720
1552| 7984047| 4650| 4.460| 37.19| 0.71| 6691| 0.651469| 0.381055|0|0|0|0|0|0|0|0|0|Simbad|298.92593|+43.75037
1553| 7951018| 5942| 4.515| 61.09|13.29| 1436| 0.154011| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|288.43576|+43.76349
1557| 5371776| 4783| 4.249| 14.16| 0.03|11030| 1.136094| 0.624912|0|0|0|0|0|0|0|0|0|Simbad|294.44177|+40.55759
1561| 4940438| 5659| 4.482|  9.07| 0.06| 2519| 0.344263| 0.225749|0|0|0|0|0|0|0|0|1|Simbad|296.03342|+40.01961
1562| 5308663| 5735| 4.663|  9.52| 0.01| 2884| 0.041264| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|299.55600|+40.45655
1563| 5219234| 4918| 4.514| 14.30| 0.19| 4458| 0.042518| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|299.22433|+40.34318
1564| 5184584| 5709| 4.924| 38.02| 2.38| 1551| 0.116164| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|291.08380|+40.35525
1567| 5438099| 5027| 4.522| 14.61| 2.87| 1813| 0.058750| 0.011829|0|0|0|0|0|0|0|0|1|Simbad|288.53867|+40.61615
1569| 8009350| 4639| 4.605| 31.01| 0.69| 3617| 0.210931| 0.096850|0|0|0|0|0|0|0|0|1|Simbad|283.12964|+43.88824
1570| 8082001| 5863| 4.540| 32.42|10.67| 1357| 0.077680| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|284.96304|+43.91301
1572|10004519| 5920| 4.590|  6.49| 0.20| 1494| 0.027106| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|288.73407|+46.93939
1573| 5031857| 5838| 4.566| 70.35| 9.83| 1279| 0.256954| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|296.84616|+40.13861
1574|10028792| 5537| 4.583| 51.47| 2.04| 1043| 0.163777| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|297.91687|+46.96513
1576| 5299459| 5445| 4.352| 25.76| 0.20| 3949| 0.735950| 0.448911|0|0|0|0|0|0|0|0|0|Simbad|297.79514|+40.41771
1577|12506770| 4165| 4.614| 30.08| 1.11| 4876| 0.164950| 0.053155|0|0|0|0|0|0|0|0|1|Simbad|289.29065|+51.40889
1581| 7939330| 5301| 4.570| 23.72| 4.21| 2409| 0.060151| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|282.43918|+43.73448
1582| 4918309| 5384| 4.797| 53.40| 3.10| 1700| 0.305714| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|290.12857|+40.02183
1583|12602568| 5619| 4.625| 13.87| 0.92| 1711| 0.034103| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|290.58685|+51.69582
1584| 9941066| 4147| 4.517| 31.80| 0.24| 8886| 0.863750| 0.515510|0|0|0|0|0|0|0|0|0|Simbad|286.58539|+46.87093
1585| 5470739| 5514| 4.657| 18.92| 3.72| 2487| 0.092178| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|297.48257|+40.68078
1586|10022908| 4692| 4.703| 28.52| 2.60| 2097| 0.228633| 0.103352|0|0|0|0|0|0|0|0|1|Simbad|296.17728|+46.99902
1587| 9932970| 5007| 4.544| 39.00| 0.70| 3199| 0.177193| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|281.61887|+46.81420
1588| 5617854| 4106| 4.584| 30.91| 0.68| 5199| 0.880418| 0.528515|0|0|0|0|0|0|0|0|0|Simbad|291.15295|+40.88749
1589| 5301750| 5755| 4.422| 19.39| 0.51| 2040| 0.337916| 0.266345|0|0|0|0|0|0|0|0|0|Simbad|298.25204|+40.49608
1590| 5542466| 4830| 4.495| 32.57| 3.56| 4257| 0.430077| 0.315946|0|0|0|0|0|0|0|0|0|Simbad|294.36487|+40.72088
1591|10028140| 5130| 4.974| 34.08| 4.18| 2882| 0.286208| 0.174341|0|0|0|0|0|0|0|0|1|Simbad|297.73984|+46.94191
1593| 5289854| 5676| 4.544| 49.64| 4.10| 2446| 0.151590| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|295.78516|+40.43955
1595|10006581| 5669| 4.515| 25.92| 5.00| 1173| 0.062022| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|289.73169|+46.95382
1596|10027323| 4656| 4.388| 44.05|10.57| 2935| 0.308863| 0.142064|0|0|0|0|0|0|0|0|1|Simbad|297.50986|+46.96126
1597| 5039228| 6443| 4.280|  5.08| 0.85|  938| 0.216453| 0.192185|0|1|0|0|0|0|0|0|1|Simbad|298.36884|+40.17342
1598|10004738| 5565| 4.519| 24.74| 5.34| 1275| 0.166653| 0.130435|0|0|0|0|0|0|0|0|1|Simbad|288.83936|+46.98674
1599| 5474613| 5627| 4.479| 28.58| 4.36| 1338| 0.104674| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|298.37384|+40.61842
1601| 5438757| 5502| 4.601| 41.73| 3.86| 1009| 0.074905| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|288.77103|+40.66418
1602| 4860678| 5596| 4.578| 51.10|17.49| 1758| 0.134074| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|297.79691|+39.92137
1603| 5177104| 5995| 4.668| 11.08| 0.26|  963| 0.055143| 0.089071|0|0|0|0|0|0|0|0|1|Simbad|288.82291|+40.38905
1606| 9886661| 5377| 4.574| 32.71| 3.05| 1186| 0.216705| 0.111054|0|0|0|0|0|0|0|0|1|Simbad|290.05112|+46.71337
1608|10055126| 6030| 4.385| 64.68|15.09|  721| 0.212505| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|282.06128|+47.08549
1609| 5009743| 6063| 4.452| 55.82|12.09|  705| 0.528887| 0.230356|0|0|0|0|0|0|0|0|1|Simbad|291.40555|+40.12549
1612|10963065| 6043| 4.157| 12.41| 0.30|  221| 0.348683| 0.281593|0|0|0|0|0|0|0|0|0|Simbad|284.78619|+48.42323
1613| 6268648| 5945| 4.408| 47.95|41.89|  231| 0.225473| 0.000000|0|1|0|0|0|0|0|1|0|Simbad|285.47659|+41.63272
1615| 4278221| 5534| 4.560|  7.73| 0.01| 7277| 1.194863| 0.658293|0|0|0|0|0|0|0|0|0|Simbad|295.32251|+39.37649
1616| 9015738| 5942| 4.528| 11.64| 1.55|  888| 0.505711| 0.372181|0|0|0|0|0|0|0|0|0|Simbad|289.50635|+45.37100
1618| 7215603| 6086| 4.315|  7.13| 0.02|  309| 0.462587| 0.334647|0|0|0|0|0|0|0|0|0|Simbad|296.04736|+42.74301
1619| 4276716| 4621| 4.619| 49.92| 0.94| 2370| 0.239854| 0.057977|0|0|0|0|0|0|0|0|1|Simbad|294.99023|+39.34638
1621| 5561278| 5945| 4.322| 18.26| 0.42|  494| 0.453913| 0.303976|0|0|0|0|0|0|0|0|0|Simbad|298.58920|+40.75069
1622| 7287683| 7507| 4.059|      |     |     |         |         |0|0|0|0|1|0|0|0|0|Simbad|293.54889|+42.88886
1626| 6387542| 5439| 4.532| 22.66| 1.54| 2114| 0.109002| 0.077239|0|0|0|0|0|0|0|0|1|Simbad|298.11121|+41.75833
1627| 6543893| 5207| 4.589| 25.44| 0.59| 7396| 0.580794| 0.422470|0|0|0|0|0|0|0|0|0|Simbad|297.58313|+41.95243
1628| 6975129| 5993| 4.151|  5.73| 0.65| 5079| 1.000912| 0.597666|0|0|0|0|0|0|0|0|0|Simbad|298.39575|+42.45975
1629| 8685497| 5779| 4.368| 71.68| 5.09|  588| 0.135640| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|290.41199|+44.89933
1630| 9017682| 5509| 4.585| 69.43| 4.32| 1574| 0.089639| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|290.25964|+45.38841
1632| 9277896| 6209| 4.305|  9.56| 0.06|  546| 0.192198| 0.162811|0|0|0|0|0|0|0|0|1|Simbad|290.59207|+45.73714
1633| 9401997| 5220| 4.651| 32.45| 1.41| 3480| 0.630833| 0.369150|0|0|0|0|0|0|0|0|0|Simbad|290.98331|+45.97330
1637|10686864| 4894| 4.867| 12.92| 0.12| 5250| 0.617017| 0.350760|0|0|0|0|0|0|0|0|0|Simbad|299.05127|+47.94928
1639|10749128| 6044| 4.448| 12.88| 0.29|  686| 0.172830| 0.149369|0|0|0|0|0|0|0|0|1|Simbad|297.90045|+48.09470
1641|10879038| 5798| 4.512| 22.19| 2.51| 2126| 0.144139| 0.099045|0|0|0|0|0|0|0|0|1|Simbad|298.20071|+48.26784
1643|10990917| 5853| 4.425| 36.37| 2.83| 1447| 0.080699| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|298.11478|+48.49440
1646|11046025| 4837| 4.297| 31.62| 0.28| 4765| 0.553460| 0.381117|0|0|0|0|0|0|0|0|0|Simbad|298.46579|+48.55941
1647|11153121| 5576| 4.355| 31.97| 4.69| 1259| 0.377461| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|298.29495|+48.77546
1648|11177543| 5266| 4.661| 48.30| 0.88| 1788| 0.377184| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|284.13263|+48.82512
1649|11337141| 3765| 4.780| 25.76| 0.32| 6182| 0.740093| 0.462471|1|0|0|0|0|0|0|0|0|Simbad|284.13287|+49.14261
1650|11337372| 5426| 4.582| 35.02| 3.99| 2255| 0.091677| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|284.29694|+49.15868
1651|11337833| 5774| 4.597| 49.84| 7.90| 1873| 0.259469| 0.046520|0|0|0|0|0|0|0|0|1|Simbad|284.61621|+49.19081
1655|11547505| 5668| 4.442| 48.96| 7.59|  787| 0.087246| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|284.73145|+49.53319
1656| 4471747| 5826| 4.419| 39.40| 1.99| 1473| 0.097624| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|293.62592|+39.50631
1659| 4650733| 6350| 4.501|  8.16| 0.09| 1310| 0.069492| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|290.49316|+39.78552
1660| 4830605| 5729| 4.962| 60.95| 2.33| 1724| 0.054312| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|290.24103|+39.96801
1662| 4844004| 5262| 4.837| 32.57| 0.64| 2361| 0.241809| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|294.13202|+39.98198
1665| 4932442| 5925| 4.690| 46.95| 1.46|  874| 0.344118| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|294.17108|+40.05517
1669| 5183357| 6099| 4.452|  9.47| 1.13|  657| 0.044010| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|290.66852|+40.39772
1672| 5269467| 4394| 4.549| 44.30| 1.22| 3694| 0.403780| 0.219199|0|0|0|0|0|0|0|0|1|Simbad|290.10654|+40.49066
1675| 5360920| 5534| 4.880| 21.07| 0.12| 6299| 0.798452| 0.502101|0|0|0|0|0|0|0|0|0|Simbad|291.33719|+40.55820
1677| 5526717| 5513| 4.954| 16.71| 2.59| 1193| 0.200416| 0.095860|0|0|0|0|0|0|0|0|1|Simbad|289.67935|+40.70046
1681| 5531953| 3614| 4.867| 24.27| 0.06| 7499| 1.100423| 0.645342|1|0|0|0|0|0|0|0|0|Simbad|291.28500|+40.73005
1683| 6034945| 5701| 4.423| 16.81| 0.28| 7739| 0.965215| 0.573235|0|0|0|0|0|0|0|0|0|Simbad|289.38351|+41.39269
1684| 6048024| 6162| 4.534|  4.10| 0.49|  911| 0.286338| 0.195754|0|0|0|0|0|0|0|0|1|Simbad|293.53448|+41.32990
1685| 6049190| 6211| 4.456| 63.40|11.42| 1052| 0.115959| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|293.87988|+41.39382
1686| 6149553| 3416| 4.970|      |     |     |         |         |1|0|0|0|1|0|0|0|0|Simbad|298.50726|+41.47905
1687| 6198999| 4667| 4.375| 24.32| 0.18|15240| 1.358752| 0.648805|0|0|0|0|0|0|0|0|0|Simbad|289.92072|+41.54283
1688| 6310636| 5513| 4.498| 13.50| 0.29| 1039| 0.124981| 0.037530|0|0|0|0|0|0|0|0|1|Simbad|298.48111|+41.61534
1693| 6696462| 5384| 4.538| 58.14| 2.62| 1246| 0.059554| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|293.25916|+42.12663
1695| 6803855| 5887| 4.131| 13.73| 2.51|  688| 0.049019| 0.085816|0|0|0|0|0|0|0|0|1|Simbad|298.31445|+42.24744
1700| 7220429| 4858| 4.216| 34.39| 0.25| 1334| 0.521047| 0.333806|0|0|0|0|0|0|0|0|0|Simbad|297.13263|+42.76825
1701| 7222086| 7065| 4.070|      |     |     |         |         |0|0|0|0|1|1|0|0|0|Simbad|297.51907|+42.77706
1702| 7304449| 3310| 4.997|      |     |     |         |         |1|0|0|0|1|0|0|0|0|Simbad|297.72925|+42.86692
1704| 7386827| 5453| 4.351| 18.84| 0.09|10573| 1.130695| 0.618280|0|0|0|0|0|0|0|0|0|Simbad|298.01443|+42.95746
1705| 7522911| 6011| 4.550| 42.29|12.46| 2182| 0.115481| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|290.32651|+43.12183
1706| 7626370| 5067| 4.218| 25.15| 2.94| 1084| 0.117355| 0.045417|0|0|0|0|0|0|0|0|1|Simbad|296.95206|+43.27197
1707| 7703955| 5501| 4.500| 39.42| 1.26| 2159| 0.236912| 0.069589|0|0|0|0|0|0|0|0|1|Simbad|298.02310|+43.36352
1708| 7750419| 5671| 4.613| 65.67| 0.27| 1307| 0.198071| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|290.88232|+43.47176
1710| 7815744| 5169| 4.878| 76.87| 3.80| 3025| 0.431864| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|289.56866|+43.53861
1711| 7955580| 4934| 4.324| 19.83| 0.48| 4112| 0.762796| 0.464372|0|0|0|0|0|0|0|0|0|Simbad|290.28845|+43.75532
1713| 8230616| 4105| 4.552| 37.21| 0.27| 3649| 0.413941| 0.292589|0|0|0|0|0|0|0|0|0|Simbad|290.82602|+44.18411
1715| 9836959| 6061| 4.163| 86.82|52.96|  406| 0.212081| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|294.27728|+46.67528
1716| 9838949| 4747| 4.266| 30.61| 0.12| 4208| 0.757669| 0.471480|0|0|0|0|0|0|0|0|0|Simbad|295.02167|+46.61922
1717| 9895006| 5382| 4.309| 33.73| 1.08| 1379| 0.253447| 0.128183|0|0|0|0|0|0|0|0|1|Simbad|293.57776|+46.73634
1718| 9896558| 5892| 4.355| 28.12| 1.40| 1599| 0.062676| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|294.16882|+46.71461
1720|10015937| 5189| 4.854| 31.50| 2.62| 2620| 0.169789| 0.128844|0|0|0|0|0|0|0|0|1|Simbad|293.64417|+46.98976
1721|10019065| 5428| 4.894| 28.52| 3.55| 2854| 0.461300| 0.299457|0|0|0|0|0|0|0|0|0|Simbad|294.78915|+46.98399
1722|10080248| 5582| 4.561|  3.22| 0.18| 1631| 0.032228| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|293.86560|+47.02683
1723|10213902| 5891| 4.872| 25.41| 0.90| 1722| 0.039863| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|294.24130|+47.27598
1724|10214162| 5753| 4.460| 10.74| 0.92| 1748| 0.042823| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|294.32635|+47.21761
1725|10905746| 3240| 4.897|      |     |     |         |         |0|1|0|0|1|0|0|0|0|Simbad|283.62885|+48.39100
1726| 8242434| 4665| 4.176| 32.11| 1.52| 2270| 0.178489| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|294.95511|+44.14982
1727| 6185331| 5578| 4.786| 54.45|14.52| 2785| 0.177180| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|284.27396|+41.53502
1731| 8266276| 4593| 4.467| 26.14| 1.12|11162| 1.041636| 0.589682|0|0|0|0|0|0|0|0|0|Simbad|301.46930|+44.15965
1732| 6869184| 5403| 4.736| 17.62| 0.02|10814| 1.320309| 0.661748|0|0|0|0|0|0|0|0|0|Simbad|293.60126|+42.37976
1733| 8396405| 5101| 4.662| 24.90| 3.36| 3403| 0.051359| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|301.08572|+44.38019
1736| 6604328| 5831| 4.872| 21.49| 3.44| 2710| 0.128344| 0.098603|0|0|0|0|0|0|0|0|1|Simbad|291.26974|+42.09604
1738| 4365645| 5138| 4.480| 35.65| 0.60| 3942| 0.329692| 0.184044|0|0|0|0|0|0|0|0|1|Simbad|291.74838|+39.44688
1739| 7199906| 5677| 4.626| 85.00|13.52| 1448| 0.171292| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|291.65009|+42.70078
1746| 8197343| 5694| 4.698| 25.72| 2.54| 2894| 0.047578| 0.099808|0|0|0|0|0|0|0|0|1|Simbad|300.92960|+44.02879
1747| 7032421| 5458| 4.795| 19.39| 0.22| 8563| 1.018122| 0.589272|0|0|0|0|0|0|0|0|0|Simbad|291.41833|+42.57982
1749| 6786348| 5532| 4.879| 38.49| 3.91| 2288| 0.180155| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|294.36673|+42.25268
1750| 6209677| 5589| 4.472| 74.39|16.88| 1091| 0.273130| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|293.30023|+41.52334
1751| 9729691| 5052| 4.341| 23.58| 0.62| 8118| 0.872034| 0.554527|0|0|0|0|0|0|0|0|0|Simbad|298.60788|+46.45368
1754| 8651389| 5705| 4.474|  8.30| 0.39| 1089| 0.296979| 0.167793|0|1|0|0|0|0|0|0|1|Simbad|299.95721|+44.77189
1758| 6705142| 5410| 4.983|  9.42| 0.04|12519| 1.074497| 0.602604|0|0|0|0|0|0|0|0|0|Simbad|295.43436|+42.16632
1760| 3967760| 5345| 4.485| 14.99| 0.08|14007| 1.096067| 0.657404|0|0|0|0|0|0|0|0|0|Simbad|294.94388|+39.03206
1761| 4067336| 6146| 4.605| 10.35| 0.78| 2683| 0.107703| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|294.14682|+39.12706
1762| 5387843| 5726| 4.524| 14.48| 0.73| 1685| 0.045120| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|298.13391|+40.53029
1781|11551692| 4720| 3.906| 10.42| 0.01|17152| 1.211806| 0.634437|0|0|0|0|0|0|0|0|0|Simbad|287.60559|+49.52326
1783|10005758| 6015| 4.692| 72.15|18.77|  741| 0.125805| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|289.34143|+46.98824
