#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-03-17T07:16:40 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ6232e02624ff1c	
#INFO	-out.max=999999	
#INFO	queryParameters=36	
#-oc.form=dec
#-out.max=999999
#-out.all=2
#-nav=cat:J/ApJ/743/48&tab:{J/ApJ/743/48/catalog}&key:source=J/ApJ/743/48/catalog&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/743/48/catalog
#-order=I
#-out=Name
#-out=HD
#-out=HIP
#-out=GJ
#-out=GCVS
#-out=2MASS
#-out=RAJ2000
#-out=DEJ2000
#-out=Cluster
#-out=Dist
#-out.all=2
#-out=Vmag
#-out=V-K
#-out=SpT
#-out=r_SpT
#-out=logLx
#-out=r_logLx
#-out=Prot
#-out=r_Prot
#-out=M*
#-out=R*
#-out=L*
#-out=Teff
#-out=dcz
#-out=Lx/bol
#-out.all=2
#
#
#RESOURCE=yCat_17430048
#Name: J/ApJ/743/48
#Title: Stars with rotation periods and X-ray luminosities (Wright+, 2011)
#Table	J_ApJ_743_48_catalog:
#Name: J/ApJ/743/48/catalog
#Title: Activity-rotation properties for 824 stars -- updated version by the author
#Column	Name	(a23)	Default source name (1)	[ucd=meta.id;meta.main]
#Column	HD	(I6)	? Henry Draper catalog number (Cat. III/135) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	HIP	(I6)	? Hipparcos catalog number (Cat. I/239) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	GJ	(a7)	Catalog of nearby stars source name (Cat. V/70)	[ucd=meta.id]
#Column	GCVS	(A9)	? General Catalog of Variable Stars source name (Cat. B/gcvs)	[ucd=meta.id]
#Column	2MASS	(A16)	2MASS source name (HHMMSSss+DDMMSSs; J2000 - Cat. II/246)	[ucd=meta.id]
#Column	RAJ2000	(A11)	? Right Ascension J2000	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	? Declination J2000	[ucd=pos.eq.dec;meta.main]
#Column	Cluster	(A8)	? Name of open cluster that star is part of (or 'Field')	[ucd=meta.id]
#Column	Dist	(F5.1)	? Distance to star (2)	[ucd=pos.distance;pos.heliocentric]
#Column	Vmag	(F5.2)	? Observed V magnitude of star	[ucd=phot.mag;em.opt.V]
#Column	V-K	(F5.2)	Dereddened V-K colour of star (3)	[ucd=phot.color;em.opt.V;em.IR.K]
#Column	SpT	(a5)	? Spectral type of star	[ucd=src.spType]
#Column	r_SpT	(A3)	? Reference for spectral type, in refs.dat file	[ucd=meta.ref;pos.frame]
#Column	logLx	(F5.2)	Logarithm of the intrinsic X-ray luminosity of the star	[ucd=phys.luminosity;em.X-ray]
#Column	r_logLx	(A3)	Reference for X-ray luminosity in refs.dat file	[ucd=meta.ref;pos.frame]
#Column	Prot	(F5.2)	Rotation period of the star	[ucd=time.period]
#Column	r_Prot	(A4)	Reference for rotation period, in refs.dat file	[ucd=meta.ref;pos.frame]
#Column	M*	(F5.2)	Mass of the star (4)	[ucd=phys.mass]
#Column	R*	(F5.2)	Radius of the star (4)	[ucd=phys.size.radius]
#Column	L*	(F5.2)	Bolometric luminosity of the star (4)	[ucd=phys.luminosity]
#Column	Teff	(I4)	Effective temperature of the star (4)	[ucd=phys.temperature.effective]
#Column	dcz	(F5.2)	Height of the radiative-convective boundary (as a function of the stellar radius) (4)	[ucd=pos.cartesian.z]
#Column	Lx/bol	(F5.2)	Logarithm of the X-ray to bolometric luminosity	[ucd=phys.luminosity;arith.ratio]
Name|HD|HIP|GJ|GCVS|2MASS|RAJ2000|DEJ2000|Cluster|Dist|Vmag|V-K|SpT|r_SpT|logLx|r_logLx|Prot|r_Prot|M*|R*|L*|Teff|dcz|Lx/bol
AP 60                  |      |      |       |V0533 Per|03273859+4824592|03 27 38.59|+48 24 59.2|aPersei |172.0|15.74| 4.58|     |   |29.34|P03| 0.32|P03 | 0.62| 0.54| 0.09|4065| 0.62|-3.22
AP 63                  |      |      |       |V0534 Per|03275103+4912099|03 27 51.03|+49 12 10.0|aPersei |172.0|12.29| 2.17|     |   |29.75|P03| 0.22|P03 | 0.95| 0.85| 0.54|5192| 1.00|-3.57
AP 70                  |      |      |       |V0488 Per|03281868+4839482|03 28 18.68|+48 39 48.2|aPersei |172.0|12.83| 2.24|     |   |29.62|P03| 6.40|P03 | 0.86| 0.76| 0.33|4862| 0.70|-3.49
AP 72                  |      |      |       |V0630 Per|03282253+4914292|03 28 22.54|+49 14 29.3|aPersei |172.0|12.78| 2.13|     |   |28.64|P03| 6.30|P03 | 0.86| 0.76| 0.34|4870| 0.70|-4.47
AP 75                  |      |      |       |         |03284743+4916280|03 28 47.43|+49 16 28.0|aPersei |172.0|13.82| 3.27|     |   |29.37|P03| 2.82|P03 | 0.79| 0.70| 0.22|4604| 0.68|-3.57
AP 117                 |      |      |       |V0536 Per|03284848+4911542|03 28 48.48|+49 11 54.2|aPersei |172.0|13.05| 2.45|     |   |29.83|P03| 0.47|P03 | 0.84| 0.74| 0.29|4776| 0.68|-3.23
AP 86                  |      |      |       |         |03302248+4824413|03 30 22.90|+48 24 42.8|aPersei |172.0|14.31| 3.28|     |   |29.24|P03| 0.21|P03 | 0.70| 0.62| 0.14|4304| 0.66|-3.50
AP 197                 |      |      |       |         |                |03 30 28.70|+47 38 28.0|aPersei |172.0|12.31| 1.94|     |   |29.46|P03| 5.62|P03 | 0.93| 0.83| 0.49|5126| 0.70|-3.81
                       |      |      |       |         |                |03 30 31.20|+28 44 18.5|Field   | 19.0|14.47| 4.84|     |   |27.76|V99| 6.55|H11 | 0.15| 0.17| 0.00|3158| 0.00|-3.35
AP 189                 |      |      |       |         |03314487+4933036|03 31 44.88|+49 33 03.7|aPersei |172.0|13.05| 2.48|     |   |29.96|P03| 0.63|P03 | 0.84| 0.74| 0.30|4781| 0.68|-3.10
AP 193                 |      |      |       |V0689 Per|03321022+4908287|03 32 10.10|+49 08 30.8|aPersei |172.0|12.28| 2.04|     |   |30.24|P03| 0.74|P03 | 0.94| 0.84| 0.51|5164| 0.70|-3.06
AP 118                 |      |      |       |V0537 Per|03323069+4910346|03 32 30.69|+49 10 34.7|aPersei |172.0|12.06| 2.03|     |   |30.08|P03| 0.32|P03 | 0.99| 0.88| 0.63|5313| 1.00|-3.30
                       |      |      |       |         |                |03 32 35.38|+35 03 44.1|Field   | 99.0|13.91| 3.52|     |   |29.43|V99| 0.39|H11 | 0.55| 0.47| 0.06|3888| 0.61|-2.94
AP 199                 |      |      |       |         |03324443+4741351|03 32 44.44|+47 41 35.2|aPersei |172.0|12.10| 2.25|     |   |29.93|P03| 1.82|P03 | 1.00| 0.89| 0.66|5354| 1.00|-3.48
AP 201                 |      |      |       |V0538 Per|03325108+4950439|03 32 51.08|+49 50 44.0|aPersei |172.0|13.08| 2.68|     |   |29.79|P03| 3.75|P03 | 0.84| 0.74| 0.30|4793| 0.68|-3.28
HD 22049               | 22049| 16537|       |eps Eri  |03325591-0927298|03 32 55.84|-09 27 29.7|Field   |  3.2| 3.72| 2.15|K2   |B95|28.32|V99|11.68|D96 | 0.88| 0.79| 0.38|4937| 0.70|-4.80
AP 211                 |      |      |       |         |03341130+4950263|03 34 11.30|+49 50 30.1|aPersei |172.0|15.07| 3.75|     |   |29.36|P03| 0.29|P03 | 0.62| 0.54| 0.10|4073| 0.62|-3.21
AP 212                 |      |      |       |         |03342934+4921434|03 34 29.30|+49 21 47.2|aPersei |172.0|13.24| 2.40|     |   |29.39|P03| 7.10|P03 | 0.81| 0.71| 0.24|4659| 0.68|-3.58
HD 22179               |      |      |       |         |                |03 35 29.90|+31 13 37.5|Field   | 75.0| 8.93| 1.51|     |   |30.31|V99| 1.84|N07 | 1.15| 1.09| 1.42|5831| 0.76|-3.50
                       |      |      |       |         |                |03 35 52.00|+34 04 26.9|Field   | 96.0|13.68| 3.47|     |   |29.63|V99| 0.47|H11 | 0.58| 0.49| 0.07|3931| 0.61|-2.79
VB 5                   |      |      |       |         |                |03 37 34.97|+21 20 35.4|Hyades  | 46.0| 9.36| 2.24|     |   |29.02|V99|10.57|D11 | 0.91| 0.82| 0.45|5064| 0.70|-4.22
                       |      |      |       |         |                |03 41 31.90|+35 06 53.2|Field   | 23.0|14.10| 4.53|     |   |28.25|V99| 1.88|H11 | 0.20| 0.20| 0.01|3280| 0.00|-3.10
HCG58                  |      |      |       |KY Tau   |                |03 41 58.93|+25 19 44.4|Pleiades|133.0|14.24| 4.03|     |   |29.71|M99| 0.38|H10 | 0.70| 0.60| 0.13|4254| 0.66|-2.99
HCG65                  |      |      |       |V0610 Tau|                |03 42 03.83|+24 42 45.4|Pleiades|133.0|13.46| 3.43|     |   |29.55|M99| 6.63|H10 | 0.74| 0.65| 0.18|4422| 0.66|-3.28
HCG71                  |      |      |       |V0500 Tau|                |03 42 21.54|+24 39 52.7|Pleiades|133.0|14.48| 3.65|     |   |29.64|M99| 2.99|H10 | 0.60| 0.51| 0.08|4001| 0.62|-2.84
AK1B078                |      |      |       |         |                |03 42 27.60|+25 02 49.2|Pleiades|133.0|12.66| 2.48|     |   |29.06|M99| 8.41|H10 | 0.79| 0.69| 0.22|4581| 0.69|-3.86
HII34                  |      |      |       |V0810 Tau|                |03 43 02.94|+24 40 11.1|Pleiades|133.0|11.96| 2.12|     |   |29.03|S94| 6.65|H10 | 0.88| 0.78| 0.36|4927| 0.70|-4.12
HCG97                  |      |      |       |LS Tau   |                |03 43 05.53|+24 49 28.5|Pleiades|133.0|15.21| 4.30|     |   |29.47|S94| 0.28|H10 | 0.56| 0.47| 0.07|3935| 0.62|-2.93
HCG100                 |      |      |       |LU Tau   |                |03 43 09.75|+24 41 33.0|Pleiades|133.0|16.37| 4.83|     |   |29.21|S94| 2.03|H10 | 0.44| 0.38| 0.03|3735| 0.45|-2.88
HCG103                 |      |      |       |LV Tau   |                |03 43 13.07|+24 39 19.5|Pleiades|133.0|16.05| 4.64|     |   |28.87|S94| 0.26|H10 | 0.46| 0.40| 0.04|3775| 0.57|-3.29
HII97                  |      |      |       |V0700 Tau|                |03 43 26.62|+24 59 39.6|Pleiades|133.0|12.65| 2.74|     |   |29.44|S94| 6.75|H10 | 0.81| 0.71| 0.24|4652| 0.69|-3.52
SRS78175               |      |      |       |         |                |03 43 27.12|+25 23 15.3|Pleiades|133.0|11.44| 2.10|     |   |30.10|M99| 0.67|H10 | 0.97| 0.87| 0.59|5256| 0.72|-3.25
HII134                 |      |      |       |LZ Tau   |                |03 43 36.63|+24 13 56.3|Pleiades|133.0|14.37| 3.55|M0   |M81|29.47|S94| 0.36|H10 | 0.59| 0.49| 0.07|3972| 0.62|-2.97
HII133                 |      |      |       |V0623 Tau|                |03 43 36.92|+24 23 38.2|Pleiades|133.0|14.26| 3.51|     |   |29.48|S94| 1.36|H10 | 0.62| 0.53| 0.09|4048| 0.62|-3.05
HCG123                 |      |      |       |MO Tau   |                |03 43 42.13|+24 34 23.4|Pleiades|133.0|15.43| 4.36|     |   |29.34|S94| 0.97|H10 | 0.53| 0.45| 0.06|3883| 0.57|-2.99
HII174                 |      |      |       |V1271 Tau|                |03 43 48.33|+25 00 15.8|Pleiades|133.0|11.62| 2.13|     |   |30.24|S94| 0.47|H10 | 0.94| 0.83| 0.50|5142| 0.70|-3.04
HII173                 |      |      |       |         |                |03 43 48.41|+25 11 24.2|Pleiades|133.0|10.89| 1.95|K0   |W63|29.32|M99| 5.71|H10 | 1.04| 0.94| 0.82|5488| 0.72|-4.18
HII193                 |      |      |       |         |                |03 43 50.71|+24 14 50.9|Pleiades|133.0|11.30| 1.59|G3   |B46|29.94|M90| 5.39|H10 | 0.94| 0.84| 0.51|5161| 0.70|-3.36
HII191                 |      |      |       |MR Tau   |                |03 43 52.14|+24 50 29.7|Pleiades|133.0|14.50| 3.74|     |   |29.45|S94| 3.02|H10 | 0.61| 0.51| 0.08|4018| 0.62|-3.05
HII212                 |      |      |       |MS Tau   |                |03 43 55.69|+24 25 35.0|Pleiades|133.0|14.30| 3.54|     |   |29.46|S94| 4.53|H10 | 0.62| 0.52| 0.09|4041| 0.62|-3.06
HCG129                 |      |      |       |V0626 Tau|                |03 43 56.70|+24 59 36.7|Pleiades|133.0|16.07| 4.44|     |   |28.90|S94| 3.96|H10 | 0.44| 0.38| 0.03|3734| 0.45|-3.19
HCG134                 |      |      |       |MU Tau   |                |03 44 02.28|+25 03 53.8|Pleiades|133.0|15.62| 4.23|     |   |29.31|S94| 4.12|H10 | 0.49| 0.41| 0.04|3814| 0.57|-2.90
HII253                 |      |      |       |V1272 Tau|                |03 44 03.54|+24 30 15.1|Pleiades|133.0|10.71| 1.46|G1   |W63|30.51|S94| 1.48|H10 | 1.05| 0.95| 0.86|5526| 0.94|-3.01
HII250                 |      |      |       |         |                |03 44 04.24|+24 59 23.4|Pleiades|133.0|10.70| 1.46|G1   |W63|29.44|S94| 4.23|H10 | 1.05| 0.96| 0.87|5533| 0.94|-4.09
HII263                 |      |      |       |V1168 Tau|                |03 44 04.84|+24 16 31.8|Pleiades|133.0|11.63| 2.13|     |   |29.85|S94| 4.76|H10 | 0.94| 0.83| 0.50|5136| 0.70|-3.43
HII296                 |      |      |       |V0966 Tau|                |03 44 11.21|+23 22 45.6|Pleiades|133.0|11.45| 1.93|     |   |29.66|M90| 2.61|H10 | 0.96| 0.85| 0.55|5206| 0.72|-3.66
HII293                 |      |      |       |V1169 Tau|                |03 44 13.92|+24 46 45.8|Pleiades|133.0|10.79| 1.46|G1   |W63|29.18|S94| 3.93|H10 | 1.04| 0.94| 0.80|5476| 0.72|-4.31
HII303                 |      |      |       |         |                |03 44 14.67|+24 06 06.5|Pleiades|133.0|10.48| 2.05|     |   |29.92|S94| 3.18|H10 | 1.16| 1.08| 1.38|5853| 0.81|-3.81
HII314                 |      |      |       |V1038 Tau|                |03 44 20.08|+24 47 46.2|Pleiades|133.0|10.60| 1.46|G1   |W63|30.33|S94| 1.48|H10 | 1.08| 0.98| 0.96|5603| 0.94|-3.23
HII320                 |      |      |       |V1084 Tau|                |03 44 20.51|+24 46 22.3|Pleiades|133.0|11.02| 2.03|     |   |29.95|S94| 4.52|H10 | 1.05| 0.95| 0.84|5504| 0.72|-3.56
HII324                 |      |      |       |V0632 Tau|                |03 44 21.90|+24 46 06.3|Pleiades|133.0|13.01| 2.82|     |   |29.90|S94| 0.41|H10 | 0.75| 0.66| 0.18|4450| 0.69|-2.94
HII335                 |      |      |       |MX Tau   |                |03 44 23.06|+24 04 05.9|Pleiades|133.0|13.74| 3.41|     |   |29.68|S94| 0.36|H10 | 0.70| 0.61| 0.13|4264| 0.66|-3.03
HCG149                 |      |      |       |V0631 Tau|                |03 44 24.81|+24 46 06.2|Pleiades|133.0|15.42| 4.29|     |   |29.43|S94| 3.27|H10 | 0.53| 0.44| 0.05|3874| 0.57|-2.88
HCG150                 |      |      |       |V0438 Tau|                |03 44 25.59|+24 40 52.9|Pleiades|133.0|16.66| 4.89|     |   |29.32|S94| 1.08|H10 | 0.40| 0.36| 0.03|3685| 0.45|-2.68
HII345                 |      |      |       |V1170 Tau|                |03 44 26.28|+24 35 22.9|Pleiades|133.0|11.60| 2.22|     |   |30.21|S94| 0.84|H10 | 0.95| 0.84| 0.53|5177| 0.70|-3.09
HII347                 |      |      |       |MY Tau   |                |03 44 27.29|+24 50 38.3|Pleiades|133.0|14.02| 3.89|     |   |29.59|S94| 0.40|H10 | 0.71| 0.62| 0.14|4299| 0.66|-3.15
HII357                 |      |      |       |NP Tau   |                |03 44 28.01|+24 10 17.6|Pleiades|133.0|13.32| 3.18|     |   |29.88|S94| 3.79|H10 | 0.74| 0.65| 0.17|4406| 0.66|-2.94
HII405                 |      |      |       |         |                |03 44 40.75|+24 49 06.8|Pleiades|133.0| 9.84| 1.29|F8   |G01|29.70|S94| 1.92|H10 | 1.23| 1.17| 1.88|6071| 0.81|-4.16
HII430                 |      |      |       |         |                |03 44 43.98|+24 13 52.4|Pleiades|133.0|11.39| 1.77|G8   |W63|28.84|M99| 5.52|H10 | 0.93| 0.83| 0.48|5119| 0.70|-4.43
                       |      |      |       |         |                |03 44 44.75|+40 41 50.9|Field   | 19.0|13.67| 4.54|     |   |28.43|V99| 0.68|H11 | 0.20| 0.20| 0.01|3280| 0.00|-2.91
HII451                 |      |      |       |V0785 Tau|                |03 44 50.17|+24 54 40.1|Pleiades|133.0|13.43| 2.97|     |   |29.24|S94| 5.55|H10 | 0.71| 0.61| 0.14|4276| 0.66|-3.48
HII476                 |      |      |       |         |                |03 44 53.83|+23 55 16.6|Pleiades|133.0|10.78| 1.34|F9   |B84|29.57|S94| 2.43|H10 | 1.03| 0.93| 0.79|5468| 0.72|-3.92
HII489                 |      |      |       |         |                |03 44 56.40|+24 25 57.4|Pleiades|133.0|10.42| 1.42|G0   |W63|29.37|S94| 2.85|H10 | 1.11| 1.02| 1.11|5712| 0.94|-4.27
HII513                 |      |      |       |         |                |03 44 58.96|+23 23 20.2|Pleiades|133.0|13.85| 3.25|     |   |29.17|M99| 5.84|H10 | 0.66| 0.57| 0.11|4153| 0.66|-3.46
HII514                 |      |      |       |         |                |03 45 04.01|+25 15 28.2|Pleiades|133.0|10.73| 1.57|     |   |29.26|S94| 3.79|H10 | 1.08| 0.99| 0.98|5625| 0.94|-4.32
HII554                 |      |      |       |         |                |03 45 11.99|+24 35 10.2|Pleiades|133.0|13.82| 3.15|     |   |29.31|S94| 4.33|H10 | 0.66| 0.56| 0.11|4135| 0.66|-3.30
HCG181                 |      |      |       |V0441 Tau|                |03 45 16.65|+24 34 32.5|Pleiades|133.0|16.18| 4.63|     |   |29.55|S94| 0.86|H10 | 0.44| 0.38| 0.03|3741| 0.45|-2.56
HCG178                 |      |      |       |V0520 Tau|                |03 45 16.98|+25 15 47.8|Pleiades|133.0|16.20| 4.90|     |   |29.39|S94| 0.69|H10 | 0.48| 0.41| 0.04|3795| 0.57|-2.80
HII625                 |      |      |       |V0811 Tau|                |03 45 21.19|+23 43 39.0|Pleiades|133.0|12.68| 3.16|     |   |30.24|S94| 0.43|H10 | 0.84| 0.75| 0.31|4798| 0.69|-2.83
HII636                 |      |      |       |         |                |03 45 22.20|+23 28 18.2|Pleiades|133.0|12.40| 2.44|     |   |29.39|M96| 7.50|H10 | 0.82| 0.73| 0.27|4725| 0.69|-3.63
HII624                 |      |      |       |OS Tau   |                |03 45 23.49|+24 51 02.9|Pleiades|133.0|15.28| 4.13|     |   |29.08|S94| 1.25|H10 | 0.53| 0.45| 0.05|3878| 0.57|-3.24
HII673                 |      |      |       |         |                |03 45 30.22|+24 18 45.5|Pleiades|133.0|15.74| 4.49|     |   |29.35|M90| 2.19|H10 | 0.50| 0.42| 0.05|3833| 0.57|-2.90
HII686                 |      |      |       |OU Tau   |                |03 45 32.93|+24 18 11.7|Pleiades|133.0|13.52| 3.18|     |   |29.80|S94| 0.40|H10 | 0.71| 0.62| 0.14|4298| 0.66|-2.94
HII708                 |      |      |       |V1085 Tau|                |03 45 35.40|+24 04 59.6|Pleiades|133.0|10.11| 1.24|F7   |K67|29.83|S94| 0.29|H10 | 1.17| 1.09| 1.46|5892| 0.81|-3.92
HCG194                 |      |      |       |V0443 Tau|                |03 45 36.72|+24 39 06.8|Pleiades|133.0|16.66| 5.19|     |   |29.25|S94| 0.33|H10 | 0.44| 0.38| 0.03|3739| 0.45|-2.85
HII738                 |      |      |       |V1041 Tau|                |03 45 39.41|+23 45 15.4|Pleiades|133.0|12.32| 3.20|     |   |30.30|S94| 0.83|H10 | 0.91| 0.81| 0.44|5054| 0.70|-2.92
HII727                 |      |      |       |V0855 Tau|                |03 45 40.17|+24 37 38.1|Pleiades|133.0| 9.71| 1.24|F7   |K67|30.03|S94| 0.53|H10 | 1.26| 1.21| 2.10|6153| 0.87|-3.88
HII746                 |      |      |       |         |                |03 45 41.85|+24 25 53.4|Pleiades|133.0|11.30| 1.64|G5   |W63|29.11|S94| 5.23|H10 | 0.94| 0.84| 0.52|5162| 0.70|-4.19
HII739                 |      |      |       |V0969 Tau|                |03 45 42.12|+24 54 21.6|Pleiades|133.0| 9.50| 1.46|G1   |K67|30.34|S94| 0.92|H10 | 1.32| 1.28| 2.63|6327| 0.87|-3.67
HII762                 |      |      |       |V0787 Tau|                |03 45 44.07|+24 04 26.8|Pleiades|133.0|14.23| 3.48|     |   |29.38|S94| 3.84|H10 | 0.62| 0.53| 0.09|4052| 0.62|-3.15
HII761                 |      |      |       |         |                |03 45 44.41|+24 13 13.2|Pleiades|133.0|10.56| 1.54|G2   |B84|29.90|S94| 3.16|H10 | 1.09| 1.00| 1.01|5648| 0.94|-3.69
HII793                 |      |      |       |OW Tau   |                |03 45 48.94|+23 51 10.3|Pleiades|133.0|14.27| 3.45|     |   |28.85|M96| 0.90|H10 | 0.61| 0.52| 0.08|4030| 0.62|-3.66
HII799                 |      |      |       |V1010 Tau|                |03 45 50.48|+23 52 26.2|Pleiades|133.0|13.66| 3.37|     |   |29.40|S94| 7.15|H10 | 0.71| 0.61| 0.14|4292| 0.66|-3.33
SK497                  |      |      |       |         |                |03 45 57.27|+25 11 12.9|Pleiades|133.0|16.29| 4.73|     |   |29.00|S94| 0.83|H10 | 0.43| 0.38| 0.03|3732| 0.45|-3.09
HII870                 |      |      |       |         |                |03 46 02.76|+23 44 14.6|Pleiades|133.0|12.61| 3.24|     |   |29.30|M96| 3.93|H10 | 0.86| 0.76| 0.34|4877| 0.70|-3.82
HII882                 |      |      |       |V0812 Tau|                |03 46 04.12|+23 24 19.9|Pleiades|133.0|12.78| 2.83|     |   |29.71|M99| 0.58|H10 | 0.80| 0.70| 0.23|4615| 0.69|-3.23
HII879                 |      |      |       |V0813 Tau|                |03 46 06.49|+24 34 02.7|Pleiades|133.0|12.79| 2.56|     |   |29.02|M99| 7.07|H10 | 0.77| 0.67| 0.20|4501| 0.69|-3.86
HII883                 |      |      |       |V0789 Tau|                |03 46 06.90|+24 33 46.1|Pleiades|133.0|13.05| 2.65|     |   |29.02|M99| 7.04|H10 | 0.73| 0.63| 0.16|4354| 0.66|-3.76
HII890                 |      |      |       |V0638 Tau|                |03 46 07.50|+24 22 27.8|Pleiades|133.0|14.71| 3.73|     |   |29.07|S94| 5.17|H10 | 0.57| 0.48| 0.07|3945| 0.62|-3.34
HII885                 |      |      |       |         |                |03 46 07.77|+24 52 00.5|Pleiades|133.0|12.08| 2.61|     |   |29.03|S94| 6.83|H10 | 0.89| 0.79| 0.38|4967| 0.70|-4.14
HII906                 |      |      |       |OX Tau   |                |03 46 09.89|+24 40 25.1|Pleiades|133.0|15.20| 4.49|     |   |29.56|S94| 2.00|H10 | 0.59| 0.50| 0.07|3982| 0.62|-2.90
HII923                 |      |      |       |         |                |03 46 10.05|+23 20 24.1|Pleiades|133.0|10.15| 1.42|G0   |K67|29.59|M99| 2.85|H10 | 1.17| 1.09| 1.43|5877| 0.81|-4.15
HII916                 |      |      |       |         |                |03 46 11.75|+24 37 20.3|Pleiades|133.0|11.71| 2.05|     |   |29.27|S94| 5.91|H10 | 0.92| 0.81| 0.45|5068| 0.70|-3.97
HII930                 |      |      |       |V1189 Tau|                |03 46 12.87|+24 03 15.8|Pleiades|133.0|14.20| 3.48|     |   |29.20|S94| 1.39|H10 | 0.63| 0.53| 0.09|4066| 0.62|-3.35
HII975                 |      |      |       |         |                |03 46 17.99|+23 29 12.0|Pleiades|133.0|10.58| 1.96|     |   |29.30|M99| 4.08|H10 | 1.13| 1.04| 1.23|5772| 0.94|-4.38
HII974                 |      |      |       |         |                |03 46 20.47|+24 47 07.7|Pleiades|133.0|13.96| 3.31|     |   |28.98|S94| 6.58|H10 | 0.65| 0.55| 0.10|4118| 0.62|-3.62
HII996                 |282963|      |       |V1045 Tau|                |03 46 22.67|+24 34 12.6|Pleiades|133.0|10.41| 1.42|G0   |B46|29.60|S94| 3.09|H10 | 1.11| 1.02| 1.12|5718| 0.94|-4.04
HCG219                 |      |      |       |OZ Tau   |                |03 46 25.38|+24 09 36.4|Pleiades|133.0|15.83| 4.58|     |   |29.11|S94| 0.32|H10 | 0.50| 0.42| 0.04|3827| 0.57|-3.12
HII1015                |282952|      |       |         |                |03 46 27.35|+25 08 08.0|Pleiades|133.0|10.52| 1.46|G1   |W63|29.38|S94| 1.72|H10 | 1.10| 1.00| 1.03|5663| 0.94|-4.22
HII1039                |      |      |       |V0641 Tau|                |03 46 27.78|+23 35 33.7|Pleiades|133.0|13.02| 3.08|     |   |29.80|M99| 5.22|H10 | 0.78| 0.69| 0.21|4566| 0.69|-3.12
HII1032                |      |      |       |V1171 Tau|                |03 46 28.41|+24 26 02.1|Pleiades|133.0|11.10| 1.77|G8   |W63|30.21|S94| 1.32|H10 | 0.99| 0.88| 0.63|5319| 0.72|-3.17
HII1061                |      |      |       |PP Tau   |                |03 46 31.18|+24 07 02.5|Pleiades|133.0|14.21| 3.75|     |   |29.56|S94| 2.42|H10 | 0.66| 0.56| 0.11|4147| 0.66|-3.06
HII1081                |      |      |       |         |                |03 46 32.88|+23 18 19.2|Pleiades|133.0|14.61| 3.71|     |   |29.15|M99| 6.80|H10 | 0.59| 0.49| 0.07|3972| 0.62|-3.30
HII1103                |      |      |       |PR Tau   |                |03 46 35.33|+23 24 42.3|Pleiades|133.0|14.77| 3.93|     |   |29.24|M99| 0.74|H10 | 0.59| 0.50| 0.07|3979| 0.62|-3.22
HII1094                |      |      |       |V0448 Tau|                |03 46 35.91|+23 58 01.3|Pleiades|133.0|14.02| 3.25|     |   |29.65|S94| 5.45|H10 | 0.63| 0.54| 0.09|4075| 0.62|-2.90
HII1100                |      |      |       |V0642 Tau|                |03 46 37.27|+24 20 36.7|Pleiades|133.0|12.25| 2.73|     |   |29.92|S94| 7.50|H10 | 0.87| 0.77| 0.35|4886| 0.70|-3.20
HII1095                |      |      |       |         |                |03 46 37.77|+24 44 51.7|Pleiades|133.0|11.83| 2.04|     |   |29.05|S94| 0.87|H10 | 0.90| 0.80| 0.40|5002| 0.70|-4.14
HII1101                |282954|      |       |         |                |03 46 38.78|+24 57 34.7|Pleiades|133.0|10.25| 1.34|F9   |K67|29.42|S94| 2.32|H10 | 1.14| 1.06| 1.29|5804| 0.94|-4.28
HII1110                |      |      |       |         |                |03 46 38.88|+24 31 13.2|Pleiades|133.0|13.29| 2.90|     |   |29.14|B03| 7.96|H10 | 0.72| 0.62| 0.15|4322| 0.66|-3.62
HII1124                |      |      |       |V0814 Tau|                |03 46 39.38|+24 01 46.9|Pleiades|133.0|12.32| 2.34|     |   |29.52|S94| 6.42|H10 | 0.83| 0.73| 0.28|4750| 0.69|-3.52
HII1136                |      |      |       |V1065 Tau|                |03 46 40.24|+23 29 52.0|Pleiades|133.0|12.18| 2.72|     |   |30.20|M99| 0.52|H10 | 0.88| 0.78| 0.37|4932| 0.70|-2.95
HCG247                 |      |      |       |V0453 Tau|                |03 46 57.09|+23 15 02.4|Pleiades|133.0|15.47| 4.22|     |   |29.14|M99| 1.21|H10 | 0.51| 0.43| 0.05|3850| 0.57|-3.13
HII1275                |      |      |       |         |                |03 47 01.42|+23 29 41.9|Pleiades|133.0|11.45| 1.95|K0   |B84|29.05|M99| 5.97|H10 | 0.93| 0.83| 0.49|5124| 0.70|-4.22
HII1280                |      |      |       |V0535 Tau|                |03 47 03.58|+24 09 35.0|Pleiades|133.0|14.56| 3.73|     |   |29.49|S94| 0.30|H10 | 0.60| 0.50| 0.08|3994| 0.62|-2.98
