#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-03-17T02:57:45 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ6232a36311af00	
#INFO	-out.max=unlimited	
#INFO	queryParameters=22	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/other/NatAs/4.03&tab:{J/other/NatAs/4.03/res}&key:source=J/other/NatAs/4.03/res&HTTPPRM:&
#-source=J/other/NatAs/4.03/res
#-order=I
#-out=HD
#-out=m_HD
#-out=Name
#-out=VMAG
#-out=logR
#-out=SMW
#-out=s_SMW
#-out=logR'HK
#-out=s_logR'HK
#-out=Prot
#-out=e_Prot
#-out=tauc
#-out=e_tauc
#-out=Ro
#-out=e_Ro
#-out=Evol
#-out=Note
#
#
#RESOURCE=yCat_1061000401
#Name: J/other/NatAs/4.03
#Title: Rotation and activity across HR diagram (Lehtinen+, 2020)
#Table	J_other_NatAs_4_03_res:
#Name: J/other/NatAs/4.03/res
#Title: Results for stars
#Column	HD	(I6)	? HD number (blank for Sun) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	m_HD	(A1)	[AB] Multiplicity index on HD	[ucd=meta.code.multip]
#Column	Name	(a12)	Star name	[ucd=meta.id;meta.main]
#Column	VMAG	(F5.2)	V-band absolute magnitude (3)	[ucd=phot.mag]
#Column	logR	(F5.2)	? Logarithm of stellar radius	[ucd=phys.size.radius]
#Column	SMW	(F7.4)	Mt. Wilson system chromospheric activity index	[ucd=phot.flux;arith.ratio]
#Column	s_SMW	(F7.4)	Intrinsic variability amplitude of SMW (3 sigma level)	[ucd=src.var.amplitude]
#Column	logR'HK	(F7.3)	? Ca II K & H line chromospheric flux measure	[ucd=phot.flux;arith.ratio]
#Column	s_logR'HK	(F9.3)	? Intrinsic variability amplitude of logR'HK (3 sigma level)	[ucd=src.var.amplitude]
#Column	Prot	(F8.4)	? Rotation period (4)	[ucd=time.period]
#Column	e_Prot	(F7.4)	? Error of Prot	[ucd=stat.error]
#Column	tauc	(F6.2)	? Convective turnover time	[ucd=time.epoch]
#Column	e_tauc	(F6.2)	? Error of tauc	[ucd=stat.error]
#Column	Ro	(F8.5)	? Rossby number	[ucd=stat.param]
#Column	e_Ro	(F8.5)	? Error of Ro	[ucd=stat.error]
#Column	Evol	(A2)	[MS SG G] Evolutionary stage (5)	[ucd=meta.code.class]
#Column	Note	(a20)	Notes on Prot and tauc	[ucd=meta.note]
HD|m_HD|Name|VMAG|logR|SMW|s_SMW|logR'HK|s_logR'HK|Prot|e_Prot|tauc|e_tauc|Ro|e_Ro|Evol|Note
154619| |HR 6359     | 1.08| 0.82| 0.3992| 0.0796| -4.563|    0.097|183.9000| 3.9000|236.00| 87.00| 0.78000| 0.01700|SG|
155885| |36 Oph B    | 6.15|-0.19| 0.3854| 0.1060| -4.564|    0.142| 18.8700| 0.4200| 59.60|  6.00| 0.31690| 0.00710|MS|
155886| |36 Oph A    | 6.20|-0.20| 0.3599| 0.0988| -4.600|    0.139| 20.5800| 0.5000| 59.30|  6.50| 0.34740| 0.00850|MS|
156026| |V2215 Oph   | 7.46|-0.37| 0.7922| 0.3443| -4.612|    0.198| 16.6900| 0.6600|      |      |        |        |  |
157482| |V819 Her    | 1.30| 0.68| 0.6042| 0.1428| -4.174|    0.121|  8.5800| 0.2700|  9.10|  6.90| 0.94500| 0.08400|SG|
157527| |HR 6472     | 0.80| 0.86| 0.4463| 0.0885| -4.545|    0.093|103.0000|12.0000|200.00|100.00| 0.50500| 0.05900|SG|
157856| |HR 6489     | 2.61| 0.38| 0.1978| 0.0288| -4.655|    0.112| 13.3000| 0.3400|  1.46|  0.69| 9.10000| 2.90000|SG|unreliable tauc
158614| |HR 6516     | 4.15| 0.23| 0.1589| 0.0144| -5.082|    0.090|        |       |126.00| 18.00|        |        | G|
159181| |beta Dra    |-2.61| 1.61| 0.6947| 0.1017| -4.354|    0.066|        |       |      |      |        |        |  |
159332| |HR 6541     | 2.71| 0.37| 0.1432| 0.0130| -5.029|    0.109| 30.6000| 0.9100|  4.44|  0.71| 6.89000| 0.32000|SG|unreliable tauc
160346| |HD 160346   | 6.51|-0.24| 0.2886| 0.0994| -4.818|    0.167| 32.0000| 1.0000| 68.80|  8.50| 0.46500| 0.01500|MS|
160365| |HR 6577     | 1.14| 0.71| 0.5260| 0.0441| -4.160|    0.044|        |       |  2.40|  4.40|        |        |SG|unreliable tauc
161239| |84 Her      | 2.75| 0.40| 0.1359| 0.0169| -5.267|    0.171| 23.3300| 0.5000| 33.00| 12.00| 0.71300| 0.01700|SG|
162076| |HR 6638     | 1.10| 0.83| 0.4214| 0.1127| -4.571|    0.124|115.1000| 5.4000|348.00| 55.00| 0.33100| 0.01600| G|
163770| |theta Her   |-3.92| 1.90| 0.4667| 0.1011| -5.034|    0.092|166.0000| 6.1000|      |      |        |        |  |
163993| |ksi Her     | 0.71| 0.95| 0.4388| 0.1435| -4.550|    0.147|105.5000| 4.1000|396.00| 47.00| 0.27000| 0.01000| G|
165341|A|70 Oph A    | 5.58|-0.11| 0.3828| 0.1176| -4.558|    0.158| 19.3300| 0.3100| 51.90|  3.50| 0.37300| 0.00600|MS|
165341|B|70 Oph B    | 7.52|-0.38| 0.6940| 0.3231| -4.744|    0.201|        |       |      |      |        |        |  |
166208| |HR 6791     |-0.21| 1.09| 0.4135| 0.0601| -4.559|    0.070| 76.2000| 2.8000|190.00|110.00| 0.40000| 0.01500| G|
166620| |HR 6806     | 6.15|-0.18| 0.1908| 0.0513| -4.975|    0.160| 42.1000| 1.3000| 64.30|  6.10| 0.66000| 0.02000|MS|
173399| |HD 173399   | 1.70| 0.70| 0.4274| 0.1242| -4.524|    0.144|147.0000|14.0000|293.00| 56.00| 0.50200| 0.04800| G|
175225| |HR 7123     | 3.40| 0.33| 0.3731| 0.1081| -4.559|    0.143|107.8000| 4.7000|138.00| 32.00| 0.78400| 0.03400|SG|
175535| |HR 7137     | 0.08| 1.02| 0.4210| 0.0814| -4.543|    0.092| 95.7000| 4.9000|200.00|120.00| 0.46800| 0.02400| G|
176051| |HR 7162     | 4.32| 0.09| 0.1758| 0.0259| -4.874|    0.122| 15.3700| 0.3900| 27.30|  3.60| 0.56300| 0.01500|MS|
176095| |HR 7163     | 2.51| 0.40| 0.1968| 0.0251| -4.686|    0.100|  3.8400| 0.1100|  3.09|  0.25| 1.24300| 0.04800|SG|unreliable tauc
178428| |HR 7260     | 4.43| 0.09| 0.1528| 0.0193| -5.092|    0.127| 18.1400| 0.5200| 45.30|  8.60| 0.40000| 0.01200|SG|
178715| |HD 178715   | 0.42| 0.98| 0.5576| 0.1145| -4.416|    0.095| 78.0000| 2.6000|350.00| 55.00| 0.22280| 0.00740| G|
181391| |f Aql       | 1.31| 0.80| 0.4509| 0.1488| -4.538|    0.153|104.1000| 3.3000|339.00| 37.00| 0.30710| 0.00970| G|
182101| |HR 7354     | 3.54| 0.20| 0.2150| 0.0213| -4.569|    0.070|  4.7740| 0.0580|  4.07|  0.84| 1.17200| 0.06100|MS|unreliable tauc
182572| |b Aql       | 4.29| 0.12| 0.1491| 0.0183| -5.136|    0.114| 41.8000| 1.4000| 47.20|  9.90| 0.89000| 0.03000|SG|
184398| |V1817 Cyg   |-1.75| 1.45| 1.3640| 0.3859| -4.249|    0.123|102.7000| 8.1000|      |      |        |        |  |
185144| |sigma Dra   | 5.86|-0.18| 0.2197| 0.0599| -4.836|    0.186| 27.7000| 0.7700|      |      |        |        |  |
185351| |HR 7468     | 2.09| 0.63| 0.3709| 0.1706| -4.624|    0.198|107.0000|11.0000|295.00| 30.00| 0.36300| 0.03700| G|
186155| |HR 7495     | 1.53| 0.55| 0.4030| 0.0283| -4.174|    0.038|        |       |      |      |        |        |  |
186791| |gamma Aql   |-5.06| 1.96| 0.5027| 0.1134| -5.254|    0.101|        |       |      |      |        |        |  |
187013| |17 Cyg      | 3.40| 0.23| 0.1510| 0.0124| -4.880|    0.081|  7.5600| 0.1500|  4.43|  0.89| 1.70500| 0.08400|MS|unreliable tauc
187691| |omicron Aql | 3.67| 0.19| 0.1477| 0.0155| -5.018|    0.120| 10.3800| 0.1600| 11.20|  1.50| 0.92800| 0.01800|SG|
188512| |beta Aql    | 3.07| 0.44| 0.1360| 0.0101| -5.173|    0.056|        |       |262.00| 17.00|        |        | G|
190007| |V1654 Aql   | 6.94|-0.30| 0.6830| 0.2724| -4.651|    0.176| 27.6800| 0.3600| 83.50|  7.30| 0.33160| 0.00430|MS|
190360| |HR 7670     | 4.71| 0.04| 0.1458| 0.0126| -5.147|    0.086|  5.1200| 0.1800| 43.00| 10.00| 0.12040| 0.00430|MS|likely spurious Prot
190406| |15 Sge      | 4.56| 0.03| 0.1942| 0.0330| -4.793|    0.137| 14.0900| 0.2100| 24.00|  3.70| 0.58660| 0.00950|MS|
191026| |b1 Cyg      | 3.49| 0.34| 0.6011| 0.1419| -4.327|    0.111| 61.7000| 2.2000|177.00| 30.00| 0.34900| 0.01200| G|
192806| |23 Vul      |-0.50| 1.24| 0.3377| 0.0246| -5.039|    0.032|        |       |461.00| 86.00|        |        | G|
192947| |alpha2 Cap  | 1.10| 0.88| 0.3159| 0.1024| -4.672|    0.155|116.5000| 9.1000|373.00| 52.00| 0.31200| 0.02400| G|
194012| |HR 7793     | 4.09| 0.10| 0.1995| 0.0224| -4.665|    0.086|  6.7300| 0.1100| 10.87|  0.85| 0.61900| 0.01100|MS|
196755| |kappa Del   | 2.66| 0.44| 0.3498| 0.0540| -4.500|    0.089| 36.7000| 2.3000| 49.00| 22.00| 0.75300| 0.04800|SG|
197912| |52 Cyg      | 0.33| 1.02| 0.3161| 0.0940| -4.811|    0.133|221.1000| 4.7000|397.00| 43.00| 0.55700| 0.01200| G|
198149| |eta Cep     | 2.62| 0.57| 0.2846| 0.0175| -4.744|    0.031|        |       |282.00| 56.00|        |        | G|
198809| |31 Vul      | 0.33| 0.92| 0.4237| 0.0717| -4.488|    0.086| 76.2000| 2.9000| 71.00| 40.00| 1.06800| 0.04200|SG|
201091| |61 Cyg A    | 7.48|-0.34| 0.6442| 0.2231| -4.588|    0.154| 35.5400| 0.4700|      |      |        |        |  |
201092| |61 Cyg B    | 8.33|-0.51| 0.9660| 0.3039| -4.803|    0.137| 34.5500| 0.5700|      |      |        |        |  |
202109| |zeta Cyg    |-0.25| 1.14| 0.2409| 0.0265| -4.882|    0.053|        |       |384.00| 30.00|        |        | G|
203387| |iota Cap    | 0.33| 0.97| 0.5630| 0.1910| -4.390|    0.171| 63.4000| 2.6000|230.00|110.00| 0.27400| 0.01100| G|
203842| |HR 8191     | 1.33| 0.64| 0.4706| 0.0361| -4.135|    0.041|        |       |      |      |        |        |SG|
204724| |2 Peg       |-0.88| 1.16| 0.4957| 0.1061| -5.455|    0.090|        |       |      |      |        |        | G|
204867| |beta Aqr    |-2.83| 1.68| 0.3480| 0.0673| -4.585|    0.105|        |       |      |      |        |        |  |
205435| |rho Cyg     | 1.02| 0.84| 0.4784| 0.0989| -4.466|    0.101|109.8000| 6.3000|303.00| 70.00| 0.36200| 0.02100| G|
206778| |epsilon Peg |-4.24| 1.79| 0.7156| 0.1426| -5.122|    0.086|        |       |      |      |        |        |  |
206860| |HN Peg      | 4.67| 0.01| 0.3280| 0.0446| -4.416|    0.082|  4.8510| 0.0480| 25.06|  0.18| 0.19360| 0.00190|MS|
207978| |15 Peg      | 3.36| 0.23| 0.1515| 0.0122| -4.812|    0.073|  2.9380| 0.0900|  2.23|  0.97| 1.32000| 0.26000|SG|unreliable tauc
209166| |20 Peg      | 1.39| 0.56| 0.3940| 0.0259| -4.104|    0.034|        |       |      |      |        |        |SG|
209750| |alpha Aqr   |-1.50| 1.39| 0.4852| 0.0683| -4.533|    0.066|        |       |      |      |        |        |  |
210434| |HR 8453     | 1.07| 0.83| 0.4206| 0.1187| -4.611|    0.130|145.0000|13.0000|321.00| 53.00| 0.45000| 0.04000| G|
210460| |HR 8455     | 2.42| 0.51| 0.4682| 0.0530| -4.325|    0.061| 43.7000| 0.6200| 97.00| 36.00| 0.45260| 0.00670|SG|
210807| |24 Cep      |-0.61| 1.16| 0.3513| 0.0783| -4.644|    0.109|108.2000| 6.5000|210.00|120.00| 0.50900| 0.03100| G|
212754| |34 Peg      | 2.74| 0.37| 0.1408| 0.0146| -5.073|    0.132| 12.4300| 0.1800|  5.80|  1.40| 2.14100| 0.09200|SG|
216380| |HR 8696     | 1.33| 0.55| 0.4825| 0.0988| -4.376|    0.104|        |       |      |      |        |        |  |
216385| |49 Peg      | 3.01| 0.31| 0.1416| 0.0125| -4.963|    0.096| 27.3100| 0.5600|  6.30|  1.10| 4.35000| 0.15000|SG|
217014| |51 Peg      | 4.50| 0.05| 0.1488| 0.0124| -5.103|    0.094| 42.0400| 0.8100| 30.20|  4.80| 1.39000| 0.02800|MS|
218658| |pi Cep      | 0.10| 1.00| 0.4814| 0.0911| -4.398|    0.095|  4.6070| 0.0480|104.00| 84.00| 0.04426| 0.00057|SG|
219291| |HR 8838     | 1.30| 0.65| 0.5611| 0.0453| -4.020|    0.041|  2.5400| 0.1100|      |      |        |        |SG|
219477| |61 Peg      |-1.00| 1.22| 0.3688| 0.0311| -4.558|    0.044|        |       |      |      |        |        | G|
219834|A|94 Aqr A    | 3.46| 0.26| 0.1541| 0.0233| -5.098|    0.127| 43.4000| 1.9000| 42.00| 15.00| 1.03100| 0.04600|SG|
219834|B|94 Aqr B    | 3.45| 0.34| 0.2000| 0.0703| -4.919|    0.198| 34.7800| 0.8600| 62.20|  4.60| 0.56000| 0.01400|MS|
221115| |70 Peg      | 0.46| 0.96| 0.2846| 0.0540| -4.763|    0.094| 98.4000| 6.5000|273.00| 86.00| 0.36000| 0.02400| G|
222107| |lambda And  | 1.89| 0.73| 1.6196| 0.6391| -4.008|    0.169| 53.7000| 1.0000|259.00| 68.00| 0.20750| 0.00390| G|
224930| |85 Peg      | 5.30|-0.07| 0.1837| 0.0306| -4.913|    0.134| 30.1900| 0.9500| 55.00|  6.00| 0.55000| 0.01700|SG|
      | |Sun         | 4.82| 0.00| 0.1808| 0.0351| -4.899|    0.169| 24.6800| 0.2000| 32.60|  5.30| 0.75750| 0.00720|MS|

