#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-03-17T09:13:36 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ6232fbb135af7d	
#INFO	-out.max=1000	
#INFO	queryParameters=28	
#-oc.form=dec
#-out.max=1000
#-nav=cat:J/other/NatAs/4.03&tab:{J/other/NatAs/4.03/lit}&key:source=J/other/NatAs/4.03/lit&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/other/NatAs/4.03/lit
#-order=I
#-out=HD
#-out=m_HD
#-out=Name
#-out=Vmag
#-out=B-V
#-out=r_Vmag
#-out=d
#-out=r_d
#-out=Teff
#-out=r_Teff
#-out=logL
#-out=r_logL
#-out=logg
#-out=r_logg
#-out=[Fe/H]
#-out=r_[Fe/H]
#-out=SimbadName
#-out=_RA
#-out=_DE
#
#
#RESOURCE=yCat_1061000401
#Name: J/other/NatAs/4.03
#Title: Rotation and activity across HR diagram (Lehtinen+, 2020)
#Table	J_other_NatAs_4_03_lit:
#Name: J/other/NatAs/4.03/lit
#Title: Literature values for stars
#Column	HD	(I6)	? HD number (blank for Sun) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	m_HD	(A1)	[AB] Multiplicity index on HD	[ucd=meta.code.multip]
#Column	Name	(a12)	Star name	[ucd=meta.id;meta.main]
#Column	Vmag	(F6.3)	? V-band magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	? B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	r_Vmag	(A19)	Bibcode for V and B-V reference	[ucd=meta.ref;pos.frame]
#Column	d	(F6.2)	Distance	[ucd=pos.distance;pos.heliocentric]
#Column	r_d	(A19)	Bibcode for d reference	[ucd=meta.ref;pos.frame]
#Column	Teff	(I4)	? Effective temperature [NULL integer written as an empty string]	[ucd=phys.temperature.effective]
#Column	r_Teff	(A19)	Bibcode for Teff reference (1)	[ucd=meta.ref;pos.frame]
#Column	logL	(F5.2)	? Logarithm of luminosity relative to the Sun	[ucd=phys.luminosity]
#Column	r_logL	(A19)	Bibcode for logL reference (2)	[ucd=meta.ref]
#Column	logg	(F6.3)	? Logarithm of surface gravity	[ucd=phys.gravity]
#Column	r_logg	(A19)	Bibcode for logg	[ucd=meta.ref;pos.frame]
#Column	[Fe/H]	(F5.2)	? Metallicity relative to the Sun	[ucd=phys.abund.Z]
#Column	r_[Fe/H]	(A19)	Bibcode for [Fe/H] reference	[ucd=meta.ref]
#Column	SimbadName	(A10)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
HD|m_HD|Name|Vmag|B-V|r_Vmag|d|r_d|Teff|r_Teff|logL|r_logL|logg|r_logg|[Fe/H]|r_[Fe/H]|SimbadName|_RA|_DE
 74485| |46 Cnc      | 6.120| 0.935|1997ESASP1200.....E|190.00|2018A&A...616A...9L|5080|2018A&A...616A...8A| 2.11|2018A&A...616A...8A|      |                   | 0.00|2018A&A...616A...8A|HD  74485 |131.33927|+30.69775
 75332| |HR 3499     | 6.220| 0.549|1997ESASP1200.....E| 27.50|2018A&A...616A...9L|6210|2018A&A...616A...8A| 0.31|2018A&A...616A...8A| 4.340|2007ApJS..168..297T| 0.12|2016ApJ...826..171G|HD  75332 |132.63426|+33.28506
 76151| |HR 3538     | 6.010| 0.661|1997ESASP1200.....E| 16.90|2018A&A...616A...9L|5740|2018A&A...616A...8A|-0.01|2018A&A...616A...8A| 4.490|2007ApJS..168..297T| 0.12|2016ApJ...826..171G|HD  76151 |133.57478|-05.43446
 76572| |61 Cnc      | 6.250| 0.474|1997ESASP1200.....E| 56.40|2018A&A...616A...9L|6380|2018A&A...616A...8A| 0.92|2018A&A...616A...8A|      |                   |-0.20|2016ApJ...826..171G|HD  76572 |134.49445|+30.23383
 78366| |HR 3625     | 5.950| 0.585|1997ESASP1200.....E| 19.00|2018A&A...616A...9L|5950|2018A&A...616A...8A| 0.11|2018A&A...616A...8A| 4.460|2007ApJS..168..297T| 0.04|2016ApJ...826..171G|HD  78366 |137.21279|+33.88222
 81799| |G Hya       | 4.720| 1.154|1997ESASP1200.....E| 50.30|2018A&A...616A...9L|4540|2018A&A...616A...8A| 1.65|2018A&A...616A...8A| 2.430|1990ApJS...74.1075M|-0.01|1990ApJS...74.1075M|HD  81799 |141.82680|-22.34375
 81809| |HR 3750     | 5.380| 0.642|1997ESASP1200.....E| 33.70|2018A&A...616A...9L|5890|2018A&A...616A...8A| 0.88|2018A&A...616A...8A| 3.850|2006AJ....132..161G|-0.26|2016ApJ...826..171G|HD  81809 |141.94492|-06.07119
 82210| |DK UMa      | 4.540| 0.781|1997ESASP1200.....E| 32.30|2018A&A...616A...9L|5310|2018A&A...616A...8A| 1.20|2018A&A...616A...8A| 3.420|2003A&A...409..251M|-0.36|2016ApJ...826..171G|HD  82210 |143.62026|+69.83034
 82328| |theta UMa   | 3.170| 0.475|1997ESASP1200.....E| 13.90|2018A&A...616A...9L|6380|                   | 1.00|                   | 4.090|2003A&A...409..251M|-0.15|2016ApJ...826..171G|HD  82328 |143.21431|+51.67730
 82443| |DX Leo      | 7.050| 0.779|1997ESASP1200.....E| 18.10|2018A&A...616A...9L|5300|2018A&A...616A...8A|-0.33|2018A&A...616A...8A| 4.540|2003AJ....126.2048G|-0.17|2016ApJ...826..171G|HD  82443 |143.18233|+26.98853
 82543| |HR 3794     | 6.110| 0.614|1997ESASP1200.....E|140.00|2018A&A...616A...9L|5730|2018A&A...616A...8A| 1.81|2018A&A...616A...8A| 3.240|2014ApJ...791...58A| 0.40|2016ApJ...826..171G|HD  82543 |143.17248|+01.86413
 82635| |SU LMi      | 4.540| 0.914|1997ESASP1200.....E| 55.10|2018A&A...616A...9L|5120|2018A&A...616A...8A| 1.69|2018A&A...616A...8A| 3.000|1990ApJS...74.1075M|-0.01|2016ApJ...826..171G|HD  82635 |143.55576|+36.39756
 82885| |SV LMi      | 5.400| 0.770|1997ESASP1200.....E| 11.20|2018A&A...616A...9L|5660|2018A&A...616A...8A|-0.09|2018A&A...616A...8A| 4.400|2003AJ....126.2048G| 0.29|2016ApJ...826..171G|HD  82885 |143.91459|+35.81013
 83273| |9 Leo       | 6.610| 0.567|1997ESASP1200.....E| 73.20|2018A&A...616A...9L|6080|2018A&A...616A...8A| 1.01|2018A&A...616A...8A|      |                   | 0.27|2016ApJ...826..171G|HD  83273 |144.45788|+24.67028
 85444| |upsilon1 Hya| 4.110| 0.918|1997ESASP1200.....E| 76.20|2018A&A...616A...9L|5040|2018A&A...616A...8A| 2.16|2018A&A...616A...8A| 2.950|2015A&A...574A..50J| 0.03|2016ApJ...826..171G|HD  85444 |147.86956|-14.84660
 88355| |34 Leo      | 6.430| 0.468|1997ESASP1200.....E| 64.60|2007A&A...474..653V|6420|2018A&A...616A...8A| 0.97|2012MNRAS.427..343M|      |                   | 0.04|2016ApJ...826..171G|HD  88355 |152.90921|+13.35511
 88373| |HD 88373    | 8.650| 0.526|1997ESASP1200.....E|190.00|2018A&A...616A...9L|5970|2018A&A...616A...8A| 1.00|2018A&A...616A...8A|      |                   | 0.00|2018A&A...616A...8A|HD  88373 |152.81995|-09.40198
 88737| |HR 4012     | 6.020| 0.573|1997ESASP1200.....E| 54.00|2018A&A...616A...9L|6110|2018A&A...616A...8A| 0.98|2018A&A...616A...8A| 3.820|2005PASJ...57...27T| 0.23|2016ApJ...826..171G|HD  88737 |153.62397|+21.16805
 89449| |40 Leo      | 4.780| 0.452|1997ESASP1200.....E| 20.90|2018A&A...616A...9L|6410|2018A&A...616A...8A| 0.65|2018A&A...616A...8A| 4.080|2003AJ....126.2048G| 0.09|2016ApJ...826..171G|HD  89449 |154.93403|+19.47091
 89484| |gamma1 Leo  | 2.010| 1.128|1997ESASP1200.....E| 39.90|2007A&A...474..653V|4660|                   | 2.22|                   | 2.350|2008AJ....135..892C|-0.47|2016ApJ...826..171G|HD  89484 |154.99314|+19.84149
 89485| |gamma2 Leo  | 4.230|      |2000A&A...355L..27H| 39.90|2007A&A...474..653V|    |                   |     |                   | 2.980|1990ApJS...74.1075M|-0.52|1990ApJS...74.1075M|HD  89485 |154.99425|+19.84075
 89744| |HR 4067     | 5.730| 0.531|1997ESASP1200.....E| 38.70|2018A&A...616A...9L|6240|2018A&A...616A...8A| 0.80|2018A&A...616A...8A| 4.040|2007ApJS..168..297T| 0.22|2016ApJ...826..171G|HD  89744 |155.54401|+41.22953
 92523| |HR 4181     | 5.010| 1.406|1997ESASP1200.....E|140.00|2018A&A...616A...9L|4210|2018A&A...616A...8A| 2.58|2018A&A...616A...8A| 1.960|1990ApJS...74.1075M|-0.38|1990ApJS...74.1075M|HD  92523 |160.76684|+69.07621
 95735| |HD 95735    | 7.490| 1.502|1997ESASP1200.....E|  2.55|2007A&A...474..653V|4070|                   |-2.62|                   | 4.900|2009A&A...508.1313F|-0.68|2016ApJ...826..171G|HD  95735 |165.83414|+35.96988
 97334| |MN UMa      | 6.410| 0.600|1997ESASP1200.....E| 22.70|2018A&A...616A...9L|5890|2018A&A...616A...8A| 0.08|2018A&A...616A...8A| 4.480|2007ApJS..168..297T| 0.07|2016ApJ...826..171G|HD  97334 |168.13479|+35.81408
 99904| |HD 99904    | 6.730| 0.521|1997ESASP1200.....E| 94.30|2018A&A...616A...9L|6210|2018A&A...616A...8A| 1.18|2018A&A...616A...8A|      |                   | 0.23|2016ApJ...826..171G|HD  99904 |172.41665|+07.59937
100180| |88 Leo      | 6.270| 0.570|1997ESASP1200.....E| 23.70|2018A&A...616A...9L|6060|2018A&A...616A...8A| 0.17|2018A&A...616A...8A| 4.390|2007ApJS..168..297T|-0.02|2016ApJ...826..171G|HD 100180 |172.93727|+14.36450
100563| |89 Leo      | 5.760| 0.480|1997ESASP1200.....E| 27.10|2018A&A...616A...9L|6460|2018A&A...616A...8A| 0.48|2018A&A...616A...8A| 4.390|2003AJ....126.2048G| 0.06|2016ApJ...826..171G|HD 100563 |173.59145|+03.06016
101501| |61 UMa      | 5.310| 0.723|1997ESASP1200.....E|  9.58|2018A&A...616A...9L|5570|2018A&A...616A...8A|-0.19|2018A&A...616A...8A| 4.480|2007ApJS..168..297T|-0.01|2016ApJ...826..171G|HD 101501 |175.26257|+34.20163
102070| |zeta Crt    | 4.710| 0.958|1997ESASP1200.....E| 99.90|2018A&A...616A...9L|4920|2018A&A...616A...8A| 2.18|2018A&A...616A...8A| 2.570|1990ApJS...74.1075M| 0.06|2016ApJ...826..171G|HD 102070 |176.19074|-18.35067
103095| |HR 4550     | 6.420| 0.754|1997ESASP1200.....E|  9.18|2018A&A...616A...9L|5260|2018A&A...616A...8A|-0.65|2018A&A...616A...8A| 4.630|2007ApJS..168..297T|-1.25|2016ApJ...826..171G|HD 103095 |178.24487|+37.71868
106516| |HR 4657     | 6.110| 0.470|1997ESASP1200.....E| 22.40|2007A&A...474..653V|6330|2018A&A...616A...8A| 0.24|                   | 4.310|2003AJ....126.2048G|-0.65|2016ApJ...826..171G|HD 106516 |183.79399|-10.31240
107213| |9 Com       | 6.380| 0.523|1997ESASP1200.....E| 47.70|2018A&A...616A...9L|6300|2018A&A...616A...8A| 0.73|2018A&A...616A...8A| 4.030|2007ApJS..168..297T| 0.27|2016ApJ...826..171G|HD 107213 |184.87302|+28.15692
111456| |HR 4867     | 5.830| 0.467|1997ESASP1200.....E| 26.20|2018A&A...616A...9L|6290|2018A&A...616A...8A| 0.42|2018A&A...616A...8A|      |                   |-0.15|2016ApJ...826..171G|HD 111456 |192.16436|+60.31973
111812| |31 Com      | 4.930| 0.681|1997ESASP1200.....E| 87.00|2018A&A...616A...9L|5840|2018A&A...616A...8A| 1.88|2018A&A...616A...8A| 3.510|2010A&A...520A..52S| 0.07|2016ApJ...826..171G|HD 111812 |192.92466|+27.54071
113226| |epsilon Vir | 2.850| 0.934|1997ESASP1200.....E| 32.70|2018A&A...616A...9L|4730|2018A&A...616A...8A| 1.75|                   | 3.010|2003AJ....126.2048G| 0.17|2016ApJ...826..171G|HD 113226 |195.54416|+10.95915
114378| |alpha Com A | 4.850| 0.490|2002A&A...384..180F| 17.80|2007A&A...474..653V|6320|                   | 0.62|                   | 4.130|2003AJ....126.2048G|-0.20|2016ApJ...826..171G|HD 114378 |197.49702|+17.52940
114710| |beta Com    | 4.230| 0.572|1997ESASP1200.....E|  9.18|2018A&A...616A...9L|6100|2018A&A...616A...8A| 0.18|2018A&A...616A...8A| 4.450|2007ApJS..168..297T| 0.06|2016ApJ...826..171G|HD 114710 |197.96831|+27.87818
115043| |HD 115043   | 6.820| 0.603|1997ESASP1200.....E| 25.20|2018A&A...616A...9L|5890|2018A&A...616A...8A| 0.01|2018A&A...616A...8A|      |                   |-0.16|2016ApJ...826..171G|HD 115043 |198.40420|+56.70827
115383| |e Vir       | 5.190| 0.585|1997ESASP1200.....E| 17.50|2018A&A...616A...9L|6100|2018A&A...616A...8A| 0.35|2018A&A...616A...8A| 4.390|2007ApJS..168..297T| 0.21|2016ApJ...826..171G|HD 115383 |199.19382|+09.42416
115404| |HD 115404   | 6.490| 0.926|1997ESASP1200.....E| 11.00|2018A&A...616A...9L|4980|2018A&A...616A...8A|-0.51|2018A&A...616A...8A| 4.400|2003AJ....126.2048G|-0.10|2016ApJ...826..171G|HD 115404 |199.21272|+17.01718
115617| |61 Vir      | 4.740| 0.709|1997ESASP1200.....E|  8.51|2018A&A...616A...9L|5920|2018A&A...616A...8A|-0.06|2018A&A...616A...8A| 4.450|2007ApJS..168..297T| 0.00|2016ApJ...826..171G|HD 115617 |199.60131|-18.31120
115659| |gamma Hya   | 2.990| 0.920|1997ESASP1200.....E| 41.90|2018A&A...616A...9L|4710|2018A&A...616A...8A| 2.01|2012MNRAS.427..343M| 2.790|2015A&A...574A..50J| 0.18|2015A&A...574A..50J|HD 115659 |199.73040|-23.17151
120136| |tau Boo     | 4.500| 0.508|1997ESASP1200.....E| 15.70|2018A&A...616A...9L|6420|2018A&A...616A...8A| 0.54|2018A&A...616A...8A| 4.270|2007ApJS..168..297T| 0.24|2016ApJ...826..171G|HD 120136 |206.81560|+17.45690
122563| |HR 5270     | 6.180| 0.853|1997ESASP1200.....E|290.00|2018A&A...616A...9L|4710|2018A&A...616A...8A| 2.53|2018A&A...616A...8A| 1.610|2014A&A...564A.133J|-2.42|2016ApJ...826..171G|HD 122563 |210.63269|+09.68610
124570| |14 Boo      | 5.530| 0.537|1997ESASP1200.....E| 33.60|2018A&A...616A...9L|6170|2018A&A...616A...8A| 2.77|2018A&A...616A...8A| 3.850|2005PASJ...57...27T| 0.13|2016ApJ...826..171G|HD 124570 |213.52158|+12.95944
124850| |iota Vir    | 4.070| 0.511|1997ESASP1200.....E| 22.00|2018A&A...616A...9L|6170|2018A&A...616A...8A| 1.00|2018A&A...616A...8A| 3.940|2003A&A...409..251M|-0.03|2016ApJ...826..171G|HD 124850 |214.00362|-06.00055
124897| |alpha Boo   |-0.050| 1.239|1997ESASP1200.....E| 11.30|2007A&A...474..653V|4480|                   | 1.90|                   | 2.190|2008AJ....135..892C|-0.50|2016ApJ...826..171G|HD 124897 |213.91530|+19.18241
126053| |HR 5384     | 6.250| 0.639|1997ESASP1200.....E| 17.40|2018A&A...616A...9L|5720|2018A&A...616A...8A|-0.07|2018A&A...616A...8A| 4.410|2007ApJS..168..297T|-0.35|2016ApJ...826..171G|HD 126053 |215.81369|+01.24157
126868| |phi Vir     | 4.810| 0.693|1997ESASP1200.....E| 37.20|2018A&A...616A...9L|5830|2018A&A...616A...8A| 1.17|2018A&A...616A...8A| 3.900|2003A&A...409..251M| 0.04|2016ApJ...826..171G|HD 126868 |217.05058|-02.22796
129333| |EK Dra      | 7.600| 0.626|1997ESASP1200.....E| 34.50|2018A&A...616A...9L|5580|2018A&A...616A...8A|-0.05|2018A&A...616A...8A| 4.500|2007ApJS..168..297T| 0.12|2016ApJ...826..171G|HD 129333 |219.75088|+64.29166
131156|A|ksi Boo A   | 4.675| 0.730|2000A&A...355L..27H|  6.73|2018A&A...616A...9L|5510|                   |-0.31|                   | 4.570|2007ApJS..168..297T|-0.10|2016ApJ...826..171G|HD 131156A|222.84745|+19.10046
131156|B|ksi Boo B   | 6.816| 1.165|2000A&A...355L..27H|  6.73|2018A&A...616A...9L|4340|2018A&A...616A...8A|-0.90|2018A&A...616A...8A| 4.400|2007ApJS..168..297T|-0.10|2016ApJ...826..171G|HD 131156B|222.84602|+19.10191
136202| |MQ Ser      | 5.040| 0.540|1997ESASP1200.....E| 25.40|2007A&A...474..653V|6200|2018A&A...616A...8A| 0.77|                   | 4.070|2003A&A...409..251M| 0.04|2016ApJ...826..171G|HD 136202 |229.82832|+01.76541
139641| |phi Boo     | 5.250| 0.886|1997ESASP1200.....E| 53.60|2018A&A...616A...9L|5070|2018A&A...616A...8A| 1.38|2018A&A...616A...8A| 3.220|1990ApJS...74.1075M|-0.51|2016ApJ...826..171G|HD 139641 |234.45666|+40.35343
141004| |lambda Ser  | 4.420| 0.604|1997ESASP1200.....E| 11.80|2018A&A...616A...9L|6020|2018A&A...616A...8A| 0.33|2018A&A...616A...8A| 4.250|2007ApJS..168..297T| 0.00|2016ApJ...826..171G|HD 141004 |236.61089|+07.35307
141714| |delta CrB   | 4.590| 0.794|1997ESASP1200.....E| 50.70|2018A&A...616A...9L|5350|2018A&A...616A...8A| 1.57|2018A&A...616A...8A| 3.150|2003A&A...409..251M|-0.21|2016ApJ...826..171G|HD 141714 |237.39853|+26.06839
142373| |chi Her     | 4.600| 0.563|1997ESASP1200.....E| 15.80|2018A&A...616A...9L|6070|2018A&A...616A...8A| 0.52|2018A&A...616A...8A| 4.020|2007ApJS..168..297T|-0.44|2016ApJ...826..171G|HD 142373 |238.16892|+42.45151
143761| |rho CrB     | 5.390| 0.612|1997ESASP1200.....E| 17.50|2018A&A...616A...9L|5850|2018A&A...616A...8A| 0.27|2018A&A...616A...8A| 4.180|2007ApJS..168..297T|-0.20|2016ApJ...826..171G|HD 143761 |240.26109|+33.30351
145001| |kappa Her A | 5.000| 0.931|1997ESASP1200.....E|120.00|2018A&A...616A...9L|4980|2018A&A...616A...8A| 2.17|2018A&A...616A...8A| 2.700|1990ApJS...74.1075M|-0.26|1990ApJS...74.1075M|HD 145001 |242.01886|+17.04698
146233| |18 Sco      | 5.490| 0.652|1997ESASP1200.....E| 14.10|2018A&A...616A...9L|5850|2018A&A...616A...8A| 0.05|2018A&A...616A...8A| 4.420|2007ApJS..168..297T| 0.06|2016ApJ...826..171G|HD 146233 |243.90529|-08.36944
148387| |eta Dra     | 2.730| 0.910|1997ESASP1200.....E| 27.80|2018A&A...616A...9L|4930|2018A&A...616A...8A| 1.84|2012MNRAS.427..343M| 3.100|2003A&A...409..251M|-0.16|2016ApJ...826..171G|HD 148387 |245.99788|+61.51424
149661| |12 Oph      | 5.770| 0.827|1997ESASP1200.....E|  9.92|2018A&A...616A...9L|5270|2018A&A...616A...8A|-0.33|2018A&A...616A...8A| 4.590|2007ApJS..168..297T| 0.07|2016ApJ...826..171G|HD 149661 |249.08937|-02.32459
150997| |eta Her     | 3.480| 0.916|1997ESASP1200.....E| 33.50|2018A&A...616A...9L|4750|2018A&A...616A...8A| 1.74|2018A&A...616A...8A| 2.950|2015A&A...574A..50J|-0.19|2016ApJ...826..171G|HD 150997 |250.72402|+38.92225
152391| |V2292 Oph   | 6.650| 0.749|1997ESASP1200.....E| 16.80|2018A&A...616A...9L|5460|2018A&A...616A...8A|-0.24|2018A&A...616A...8A| 4.560|2007ApJS..168..297T| 0.03|2016ApJ...826..171G|HD 152391 |253.24501|-00.02642
154417| |V2213 Oph   | 6.000| 0.578|1997ESASP1200.....E| 20.70|2018A&A...616A...9L|6020|2018A&A...616A...8A| 0.16|2018A&A...616A...8A| 4.390|2007ApJS..168..297T| 0.03|2016ApJ...826..171G|HD 154417 |256.32008|+00.70256
154619| |HR 6359     | 6.380| 0.896|1997ESASP1200.....E|115.00|2018A&A...616A...9L|5100|2018A&A...616A...8A| 1.58|2018A&A...616A...8A|      |                   | 0.00|2018A&A...616A...8A|HD 154619 |256.55437|+10.45388
155885| |36 Oph B    | 5.030| 0.850|2006A&A...460..695T|  5.96|2018A&A...616A...9L|5080|2018A&A...616A...8A|-0.46|2018A&A...616A...8A| 4.630|2007A&A...465..271R|-0.17|2016ApJ...826..171G|HD 155885 |258.83744|-26.60282
155886| |36 Oph A    | 5.080| 0.850|2006A&A...460..695T|  5.96|2018A&A...616A...9L|5090|2018A&A...616A...8A|-0.46|2018A&A...616A...8A| 4.600|1999ApJ...521..753T|-0.17|2016ApJ...826..171G|HD 155886 |258.83660|-26.60170
156026| |V2215 Oph   | 6.330| 1.144|1997ESASP1200.....E|  5.95|2018A&A...616A...9L|4480|2018A&A...616A...8A|-0.82|2018A&A...616A...8A| 4.700|2007ApJS..168..297T|-0.16|2016ApJ...826..171G|HD 156026 |259.05568|-26.54615
157482| |V819 Her    | 5.550| 0.667|1997ESASP1200.....E| 70.80|2018A&A...616A...9L|5920|2018A&A...616A...8A| 1.44|2018A&A...616A...8A| 3.400|2008AJ....135..209M| 0.00|2018A&A...616A...8A|HD 157482 |260.43173|+39.97463
157527| |HR 6472     | 5.820| 0.939|1997ESASP1200.....E|101.00|2018A&A...616A...9L|5140|2018A&A...616A...8A| 1.69|2018A&A...616A...8A|      |                   | 0.00|2018A&A...616A...8A|HD 157527 |261.17512|-21.44148
157856| |HR 6489     | 6.440| 0.457|1997ESASP1200.....E| 58.40|2018A&A...616A...9L|6380|2018A&A...616A...8A| 0.87|2018A&A...616A...8A| 4.000|1990ApJ...354..310B|-0.13|2016ApJ...826..171G|HD 157856 |261.49115|-01.65178
158614| |HR 6516     | 5.310| 0.715|1997ESASP1200.....E| 17.10|2018A&A...616A...9L|5100|2018A&A...616A...8A| 0.26|                   | 4.040|1990ApJS...74.1075M| 0.08|2016ApJ...826..171G|HD 158614 |262.59915|-01.06291
159181| |beta Dra    | 2.790| 0.954|1997ESASP1200.....E|120.00|2018A&A...616A...9L|4730|2018A&A...616A...8A| 3.01|2012MNRAS.427..343M| 1.870|2014AJ....147..137L|-0.02|2016ApJ...826..171G|HD 159181 |262.60817|+52.30139
159332| |HR 6541     | 5.650| 0.505|1997ESASP1200.....E| 38.70|2018A&A...616A...9L|6270|2018A&A...616A...8A| 0.84|2018A&A...616A...8A| 3.970|1990ApJ...354..310B|-0.10|2016ApJ...826..171G|HD 159332 |263.34510|+19.25668
160346| |HD 160346   | 6.530| 0.959|1997ESASP1200.....E| 10.10|2018A&A...616A...9L|4900|2018A&A...616A...8A|-0.55|2018A&A...616A...8A| 4.570|2003AJ....126.2048G|-0.10|2016ApJ...826..171G|HD 160346 |264.82048|+03.55524
160365| |HR 6577     | 6.120| 0.567|1997ESASP1200.....E| 99.30|2018A&A...616A...9L|6010|2018A&A...616A...8A| 1.48|2018A&A...616A...8A| 3.400|2008AJ....135..209M| 0.11|2016ApJ...826..171G|HD 160365 |264.74106|+13.32926
161239| |84 Her      | 5.730| 0.683|1997ESASP1200.....E| 39.40|2018A&A...616A...9L|5860|2018A&A...616A...8A| 0.84|2018A&A...616A...8A| 3.530|2003AJ....126.2048G|-0.08|2016ApJ...826..171G|HD 161239 |265.83985|+24.32782
162076| |HR 6638     | 5.690| 0.938|1997ESASP1200.....E| 82.70|2018A&A...616A...9L|4980|2018A&A...616A...8A| 1.59|2018A&A...616A...8A| 3.320|2015A&A...574A..50J| 0.00|2015A&A...574A..50J|HD 162076 |267.10320|+20.56544
163770| |theta Her   | 3.860| 1.350|1997ESASP1200.....E|360.00|2018A&A...616A...9L|4330|2018A&A...616A...8A| 3.78|2018A&A...616A...8A| 1.280|2008AJ....135..892C|-0.24|2008AJ....135..892C|HD 163770 |269.06325|+37.25054
163993| |ksi Her     | 3.700| 0.935|1997ESASP1200.....E| 39.60|2018A&A...616A...9L|4740|2018A&A...616A...8A| 1.80|2018A&A...616A...8A| 2.920|1990ApJS...74.1075M| 0.10|2016ApJ...826..171G|HD 163993 |269.44119|+29.24788
165341|A|70 Oph A    | 4.130| 0.840|2002A&A...384..180F|  5.12|2018A&A...616A...9L|5310|2018A&A...616A...8A|-0.36|                   | 4.510|2005PASJ...57...27T|-0.02|2016ApJ...826..171G|HD 165341A|271.36404|+02.49981
165341|B|70 Oph B    | 6.070| 1.190|2002A&A...384..180F|  5.12|2018A&A...616A...9L|4440|2018A&A...616A...8A|-0.79|2018A&A...616A...8A|      |                   |-0.02|2016ApJ...826..171G|HD 165341B|271.36443|+02.49895
166208| |HR 6791     | 5.000| 0.913|1997ESASP1200.....E|110.00|2018A&A...616A...9L|5000|2018A&A...616A...8A| 2.10|2018A&A...616A...8A| 2.760|1990ApJS...74.1075M| 0.11|2016ApJ...826..171G|HD 166208 |271.86976|+43.46187
166620| |HR 6806     | 6.380| 0.876|1997ESASP1200.....E| 11.10|2018A&A...616A...9L|5010|2018A&A...616A...8A|-0.44|2018A&A...616A...8A| 4.560|2007ApJS..168..297T|-0.18|2016ApJ...826..171G|HD 166620 |272.40590|+38.45778
173399| |HD 173399   | 7.170| 0.889|1997ESASP1200.....E|124.00|2018A&A...616A...9L|5080|2018A&A...616A...8A| 1.31|2018A&A...616A...8A|      |                   |-0.24|2016ApJ...826..171G|HD 173399 |280.73089|+44.92525
175225| |HR 7123     | 5.510| 0.843|1997ESASP1200.....E| 26.40|2018A&A...616A...9L|5270|2018A&A...616A...8A| 0.63|2018A&A...616A...8A| 3.550|1990ApJS...74.1075M|-0.01|1990ApJS...74.1075M|HD 175225 |282.89551|+52.97507
175535| |HR 7137     | 4.920| 0.903|1997ESASP1200.....E| 92.70|2018A&A...616A...9L|5060|2018A&A...616A...8A| 2.00|2018A&A...616A...8A| 2.970|1990ApJS...74.1075M| 0.00|2016ApJ...826..171G|HD 175535 |283.30648|+50.70827
176051| |HR 7162     | 5.200| 0.594|1997ESASP1200.....E| 15.00|2018A&A...616A...9L|5930|2018A&A...616A...8A| 0.18|2018A&A...616A...8A| 4.680|2013A&A...556A.150S|-0.09|2016ApJ...826..171G|HD 176051 |284.25671|+32.90127
176095| |HR 7163     | 6.220| 0.478|1997ESASP1200.....E| 55.10|2018A&A...616A...9L|6320|2018A&A...616A...8A| 0.91|2018A&A...616A...8A| 3.990|1990ApJ...354..310B| 0.01|2016ApJ...826..171G|HD 176095 |284.59877|+06.23993
178428| |HR 7260     | 6.080| 0.705|1997ESASP1200.....E| 21.40|2018A&A...616A...9L|5650|2018A&A...616A...8A| 0.18|2018A&A...616A...8A| 4.010|2003AJ....126.2048G| 0.11|2016ApJ...826..171G|HD 178428 |286.98883|+16.85338
178715| |HD 178715   | 7.260| 0.912|1997ESASP1200.....E|233.00|2018A&A...616A...9L|4920|2018A&A...616A...8A| 1.87|2018A&A...616A...8A|      |                   | 0.00|2018A&A...616A...8A|HD 178715 |287.32670|+11.62676
181391| |f Aql       | 4.980| 0.937|1997ESASP1200.....E| 54.20|2018A&A...616A...9L|4910|2018A&A...616A...8A| 1.53|2018A&A...616A...8A| 3.310|1990ApJS...74.1075M|-0.21|2008AJ....135..892C|HD 181391 |290.13708|-05.41576
